,Term ID,Term Name,Term Database,P-value,FDR,Fold Enrichment,Overlap Count,Total Term Genes (Human),Overlapping Genes,Full Term Gene List,subfamily_name,class_name
0,GO:0018858,benzoate-CoA ligase activity,MF,2.9478622914623803e-06,0.05522601351119453,660.6436781609195,2,3,"['ACSM2A', 'ACSM2B']","['ACSM1', 'ACSM2A', 'ACSM2B']",MLT-int,LTR
1,GO:0102391,decanoate-CoA ligase activity,MF,5.892031741298894e-06,0.05522601351119453,495.48275862068965,2,4,"['ACSM2A', 'ACSM2B']","['ACSM1', 'ACSM2A', 'ACSM2B', 'ACSM4']",MLT-int,LTR
2,GO:0015645,fatty acid ligase activity,MF,2.0583388858508218e-05,0.09646405188539876,283.13300492610836,2,7,"['ACSM2A', 'ACSM2B']","['ACSM1', 'ACSM2A', 'ACSM2B', 'ACSM3', 'ACSM4', 'ACSM5', 'ACSM6']",MLT-int,LTR
3,GO:0004321,fatty-acyl-CoA synthase activity,MF,2.0583388858508218e-05,0.09646405188539876,283.13300492610836,2,7,"['ACSM2A', 'ACSM2B']","['ACSM1', 'ACSM2A', 'ACSM2B', 'ACSM3', 'ACSM4', 'ACSM5', 'ACSM6']",MLT-int,LTR
