,Term ID,Term Name,Term Database,P-value,FDR,Fold Enrichment,Overlap Count,Total Term Genes (Human),Overlapping Genes,Full Term Gene List,subfamily_name,class_name
0,GO:0002312,B cell activation involved in immune response,BP,6.964259736238569e-08,0.0006452223879926803,25.743206927441026,6,17,"['IFNA10', 'IFNA16', 'IFNA17', 'IFNA21', 'IFNA4', 'IFNA7']","['GPR183', 'IFNA1', 'IFNA10', 'IFNA14', 'IFNA16', 'IFNA17', 'IFNA2', 'IFNA21', 'IFNA4', 'IFNA5', 'IFNA6', 'IFNA7', 'IFNA8', 'IFNB1', 'IFNE', 'IFNK', 'IFNW1']",L1PA6,LINE
1,GO:0002323,natural killer cell activation involved in immune response,BP,1.0325761036904091e-07,0.0006452223879926803,24.313028764805416,6,18,"['IFNA10', 'IFNA16', 'IFNA17', 'IFNA21', 'IFNA4', 'IFNA7']","['CD244', 'IFNA1', 'IFNA10', 'IFNA14', 'IFNA16', 'IFNA17', 'IFNA2', 'IFNA21', 'IFNA4', 'IFNA5', 'IFNA6', 'IFNA7', 'IFNA8', 'IFNB1', 'IFNE', 'IFNK', 'IFNW1', 'IL12B']",L1PA6,LINE
6,GO:0005132,type I interferon receptor binding,MF,4.5589411692859287e-08,0.0006452223879926803,27.352157360406093,6,16,"['IFNA10', 'IFNA16', 'IFNA17', 'IFNA21', 'IFNA4', 'IFNA7']","['IFNA1', 'IFNA10', 'IFNA14', 'IFNA16', 'IFNA17', 'IFNA2', 'IFNA21', 'IFNA4', 'IFNA5', 'IFNA6', 'IFNA7', 'IFNA8', 'IFNB1', 'IFNE', 'IFNK', 'IFNW1']",L1PA6,LINE
2,GO:0002286,T cell activation involved in immune response,BP,5.298342323298417e-07,0.002483068129813803,19.02758772897815,6,23,"['IFNA10', 'IFNA16', 'IFNA17', 'IFNA21', 'IFNA4', 'IFNA7']","['CD1C', 'CD74', 'EIF2AK4', 'F2RL1', 'IFNA1', 'IFNA10', 'IFNA14', 'IFNA16', 'IFNA17', 'IFNA2', 'IFNA21', 'IFNA4', 'IFNA5', 'IFNA6', 'IFNA7', 'IFNA8', 'IFNB1', 'IFNE', 'IFNK', 'IFNW1', 'LCP1', 'MDK', 'PSEN1']",L1PA6,LINE
3,GO:0060337,type I interferon-mediated signaling pathway,BP,4.516356631188509e-06,0.0141106035680433,10.419869470630893,7,49,"['IFI27', 'IFNA10', 'IFNA16', 'IFNA17', 'IFNA21', 'IFNA4', 'IFNA7']","['AZI2', 'CR2', 'GPR108', 'HDAC4', 'IFI27', 'IFIH1', 'IFITM1', 'IFITM2', 'IFITM3', 'IFNA1', 'IFNA10', 'IFNA14', 'IFNA16', 'IFNA17', 'IFNA2', 'IFNA21', 'IFNA4', 'IFNA5', 'IFNA6', 'IFNA7', 'IFNA8', 'IFNAR1', 'IFNAR2', 'IFNB1', 'IFNE', 'IFNK', 'IFNW1', 'IKBKE', 'IRAK1', 'IRF3', 'IRF7', 'JAK1', 'MAVS', 'MYD88', 'OAS1', 'OAS2', 'OAS3', 'OASL', 'SIN3A', 'SP100', 'STAT1', 'STAT2', 'TANK', 'TBK1', 'TBKBP1', 'TRAF3', 'TREX1', 'TRIM65', 'TYK2']",L1PA6,LINE
7,GO:0005126,cytokine receptor binding,MF,4.285203061108086e-06,0.0141106035680433,13.676078680203046,6,32,"['IFNA10', 'IFNA16', 'IFNA17', 'IFNA21', 'IFNA4', 'IFNA7']","['CISH', 'DDT', 'IFNA1', 'IFNA10', 'IFNA14', 'IFNA16', 'IFNA17', 'IFNA2', 'IFNA21', 'IFNA4', 'IFNA5', 'IFNA6', 'IFNA7', 'IFNA8', 'IFNB1', 'IFNE', 'IFNK', 'IFNW1', 'IL12B', 'IL13', 'IL15', 'IL17F', 'IL21', 'IL31', 'IL4', 'IL7', 'IL9', 'MIF', 'MYD88', 'SOCS1', 'SOCS2', 'SOCS3']",L1PA6,LINE
5,GO:0002544,chronic inflammatory response,BP,6.845693353501013e-06,0.01604117095059125,29.175634517766497,4,10,"['CCL11', 'CXCL13', 'SCN11A', 'VCAM1']","['CAMP', 'CCL11', 'CXCL13', 'NFKBIZ', 'S100A8', 'S100A9', 'SCN11A', 'THBS1', 'VCAM1', 'VNN1']",L1PA6,LINE
4,GO:0043330,response to exogenous dsRNA,BP,6.214261184478132e-06,0.01604117095059125,12.871603463720513,6,34,"['IFNA10', 'IFNA16', 'IFNA17', 'IFNA21', 'IFNA4', 'IFNA7']","['CARD9', 'DDX1', 'DDX21', 'DHX36', 'IFNA1', 'IFNA10', 'IFNA14', 'IFNA16', 'IFNA17', 'IFNA2', 'IFNA21', 'IFNA4', 'IFNA5', 'IFNA6', 'IFNA7', 'IFNA8', 'IFNB1', 'IFNE', 'IFNK', 'IFNW1', 'IRAK3', 'IRF3', 'KCNJ8', 'MAPK1', 'MAPK3', 'NFKBIA', 'RFTN1', 'RFTN2', 'RIGI', 'RIPK2', 'SLC22A4', 'SLC3A2', 'TICAM1', 'TLR3']",L1PA6,LINE
