,Term ID,Term Name,Term Database,P-value,FDR,Fold Enrichment,Overlap Count,Total Term Genes (Human),Overlapping Genes,Full Term Gene List,subfamily_name,class_name
1,GO:0031462,Cul2-RING ubiquitin ligase complex,CC,1.927104175355488e-09,3.612549487121398e-05,94.6574440052701,5,46,"['PRAMEF10', 'PRAMEF2', 'PRAMEF25', 'PRAMEF33', 'PRAMEF9']","['APPBP2', 'ARIH1', 'ASB4', 'COMMD1', 'CUL2', 'ELOB', 'ELOC', 'FEM1A', 'FEM1B', 'FEM1C', 'GLMN', 'KLHDC10', 'KLHDC2', 'KLHDC3', 'LRR1', 'LRRC75A', 'PRAME', 'PRAMEF1', 'PRAMEF10', 'PRAMEF11', 'PRAMEF12', 'PRAMEF13', 'PRAMEF14', 'PRAMEF15', 'PRAMEF17', 'PRAMEF18', 'PRAMEF19', 'PRAMEF2', 'PRAMEF20', 'PRAMEF25', 'PRAMEF33', 'PRAMEF4', 'PRAMEF5', 'PRAMEF6', 'PRAMEF7', 'PRAMEF8', 'PRAMEF9', 'RBX1', 'VHL', 'ZER1', 'ZSWIM4', 'ZSWIM5', 'ZSWIM6', 'ZSWIM8', 'ZYG11A', 'ZYG11B']",MER34-int,LTR
0,GO:0045596,negative regulation of cell differentiation,BP,4.467599154801546e-08,0.0004187480687795489,51.22638146167559,5,85,"['PRAMEF10', 'PRAMEF2', 'PRAMEF25', 'PRAMEF33', 'PRAMEF9']","['ACTB', 'ACTL6A', 'ACTL6B', 'ACVR1B', 'ANP32B', 'BCL6', 'BCL7A', 'BCL7B', 'BCL7C', 'BICRA', 'BICRAL', 'BMP4', 'BMP8B', 'BRD9', 'CDK6', 'CTNNB1', 'DLL1', 'ELF5', 'FGF10', 'FST', 'GDF11', 'GLI3', 'HES1', 'HES5', 'HOPX', 'IAPP', 'IHH', 'ITGB1', 'JAG1', 'KRAS', 'MAPK1', 'NODAL', 'NOG', 'NOTCH1', 'NOTCH3', 'NOTCH4', 'OVOL2', 'OVOL3', 'POU4F2', 'PRAME', 'PRAMEF1', 'PRAMEF10', 'PRAMEF11', 'PRAMEF12', 'PRAMEF13', 'PRAMEF14', 'PRAMEF15', 'PRAMEF17', 'PRAMEF18', 'PRAMEF19', 'PRAMEF2', 'PRAMEF20', 'PRAMEF25', 'PRAMEF33', 'PRAMEF4', 'PRAMEF5', 'PRAMEF6', 'PRAMEF7', 'PRAMEF8', 'PRAMEF9', 'PRMT5', 'RARA', 'RARG', 'RBPJ', 'SHH', 'SINHCAF', 'SIX2', 'SKIL', 'SMAD2', 'SMAD3', 'SMAD6', 'SMAD7', 'SMARCA2', 'SMARCA4', 'SMARCC1', 'SMARCD1', 'SOSTDC1', 'SS18', 'SUZ12', 'TBX1', 'TENT5C', 'TGFB1', 'TWIST1', 'WNT1', 'WNT4']",MER34-int,LTR
2,GO:1990756,ubiquitin-like ligase-substrate adaptor activity,MF,6.032643438737875e-07,0.0037695977967526734,30.449247721974995,5,143,"['PRAMEF10', 'PRAMEF2', 'PRAMEF25', 'PRAMEF33', 'PRAMEF9']","['AMBRA1', 'ANKRD9', 'APPBP2', 'ARMC5', 'ARRDC1', 'ARRDC4', 'ASB1', 'ASB11', 'ASB7', 'ASB9', 'AXIN1', 'BTRC', 'CCIN', 'CCNF', 'CDC20', 'CDK5RAP3', 'DAW1', 'DCAF1', 'DCAF12', 'DCAF13', 'DET1', 'ENC1', 'ERCC8', 'FBXL19', 'FBXL2', 'FBXL4', 'FBXO11', 'FBXO24', 'FBXO3', 'FBXO31', 'FBXO32', 'FBXO38', 'FBXO4', 'FBXO42', 'FBXO44', 'FBXO45', 'FBXO46', 'FBXO48', 'FBXO7', 'FBXO9', 'FBXW11', 'FBXW7', 'FBXW8', 'FEM1A', 'FEM1B', 'FEM1C', 'FZR1', 'GAN', 'HERPUD1', 'IPP', 'IVNS1ABP', 'KBTBD12', 'KBTBD2', 'KBTBD3', 'KBTBD6', 'KBTBD7', 'KBTBD8', 'KCTD17', 'KEAP1', 'KIF12', 'KLHDC1', 'KLHDC10', 'KLHDC2', 'KLHDC3', 'KLHL1', 'KLHL10', 'KLHL11', 'KLHL12', 'KLHL13', 'KLHL15', 'KLHL17', 'KLHL18', 'KLHL2', 'KLHL20', 'KLHL21', 'KLHL22', 'KLHL23', 'KLHL24', 'KLHL25', 'KLHL26', 'KLHL28', 'KLHL29', 'KLHL3', 'KLHL30', 'KLHL32', 'KLHL35', 'KLHL36', 'KLHL38', 'KLHL4', 'KLHL40', 'KLHL41', 'KLHL5', 'KLHL6', 'KLHL7', 'KLHL8', 'KLHL9', 'LRRC75A', 'PAQR3', 'PCMTD1', 'PDCD6', 'PEF1', 'PRAME', 'PRAMEF1', 'PRAMEF10', 'PRAMEF11', 'PRAMEF12', 'PRAMEF13', 'PRAMEF14', 'PRAMEF15', 'PRAMEF17', 'PRAMEF18', 'PRAMEF19', 'PRAMEF2', 'PRAMEF20', 'PRAMEF25', 'PRAMEF33', 'PRAMEF4', 'PRAMEF5', 'PRAMEF6', 'PRAMEF7', 'PRAMEF8', 'PRAMEF9', 'RAB40A', 'RAB40B', 'RAB40C', 'RHOBTB2', 'SH3BGRL', 'SKP1', 'SKP2', 'SMAD7', 'SOCS2', 'SOCS7', 'SPSB1', 'SPSB2', 'SPSB3', 'SPSB4', 'SUV39H2', 'TRIM55', 'TRPC4AP', 'UBR4', 'VHL', 'WDR77', 'ZSWIM8']",MER34-int,LTR
