,Term ID,Term Name,Term Database,P-value,FDR,Fold Enrichment,Overlap Count,Total Term Genes (Human),Overlapping Genes,Full Term Gene List,subfamily_name,class_name
0,GO:0006369,termination of RNA polymerase II transcription,BP,9.703891790556972e-07,0.00909545777528905,150.198606271777,3,14,"['SSU72L2', 'SSU72L3', 'SSU72L5']","['MAZ', 'PCF11', 'POLR2A', 'SCAF8', 'SETX', 'SSU72', 'SSU72L1', 'SSU72L2', 'SSU72L3', 'SSU72L4', 'SSU72L5', 'SSU72L6', 'TTF2', 'XRN2']",MER106A,DNA
2,GO:0008420,RNA polymerase II CTD heptapeptide repeat phosphatase activity,MF,7.63205313281548e-07,0.00909545777528905,161.75234521575985,3,13,"['SSU72L2', 'SSU72L3', 'SSU72L5']","['CTDP1', 'CTDSP1', 'CTDSP2', 'CTDSPL', 'CTDSPL2', 'RPAP2', 'SSU72', 'SSU72L1', 'SSU72L2', 'SSU72L3', 'SSU72L4', 'SSU72L5', 'SSU72L6']",MER106A,DNA
1,GO:0005847,mRNA cleavage and polyadenylation specificity factor complex,CC,5.342543648622375e-06,0.03338377441235835,87.61585365853658,3,24,"['SSU72L2', 'SSU72L3', 'SSU72L5']","['CPSF1', 'CPSF2', 'CPSF3', 'CPSF4', 'CPSF4L', 'CPSF6', 'CPSF7', 'CSNK1A1', 'CSTF2', 'CSTF2T', 'FIP1L1', 'NUDT21', 'PIP5K1A', 'SSU72', 'SSU72L1', 'SSU72L2', 'SSU72L3', 'SSU72L4', 'SSU72L5', 'SSU72L6', 'SYMPK', 'TUT1', 'WDR33', 'ZC3H3']",MER106A,DNA
