,Term ID,Term Name,Term Database,P-value,FDR,Fold Enrichment,Overlap Count,Total Term Genes (Human),Overlapping Genes,Full Term Gene List,subfamily_name,class_name
1,GO:0140375,immune receptor activity,MF,2.069124586288254e-12,3.8787809494559613e-08,331.08294930875576,5,14,"['KIR2DL1', 'KIR2DL3', 'KIR2DS4', 'KIR3DL1', 'KIR3DL2']","['FCAR', 'FCGR3A', 'GP6', 'KIR2DL1', 'KIR2DL3', 'KIR2DS4', 'KIR3DL1', 'KIR3DL2', 'KIR3DL3', 'KIR3DX1', 'LAIR1', 'LAIR2', 'NCR1', 'NCR3']",MER70B,LTR
0,GO:0002767,immune response-inhibiting cell surface receptor signaling pathway,BP,4.359893601303425e-11,4.0865282725017e-07,193.13172043010752,5,24,"['KIR2DL1', 'KIR2DL3', 'KIR2DS4', 'KIR3DL1', 'KIR3DL2']","['FCAR', 'GP6', 'HLA-G', 'KIR2DL1', 'KIR2DL3', 'KIR2DL4', 'KIR2DS4', 'KIR3DL1', 'KIR3DL2', 'KIR3DL3', 'KIR3DX1', 'LAIR1', 'LAIR2', 'LILRA1', 'LILRA2', 'LILRA3', 'LILRA4', 'LILRA5', 'LILRB1', 'LILRB2', 'LILRB3', 'LILRB4', 'LILRB5', 'NCR1']",MER70B,LTR
2,GO:0004888,transmembrane signaling receptor activity,MF,9.990475380813967e-06,0.06242715049624621,17.103916200452325,5,271,"['KIR2DL1', 'KIR2DL3', 'KIR2DS4', 'KIR3DL1', 'KIR3DL2']","['A1BG', 'ACKR1', 'ADCYAP1R1', 'ADGRA1', 'ADGRA2', 'ADGRA3', 'ADGRB1', 'ADGRB2', 'ADGRB3', 'ADGRD1', 'ADGRD2', 'ADGRE1', 'ADGRE2', 'ADGRE3', 'ADGRE4P', 'ADGRE5', 'ADGRF1', 'ADGRF3', 'ADGRF4', 'ADGRF5', 'ADGRG1', 'ADGRG2', 'ADGRG3', 'ADGRG4', 'ADGRG5', 'ADGRG6', 'ADGRG7', 'ADGRL1', 'ADGRL2', 'ADGRL3', 'ADGRL4', 'ADGRV1', 'AGER', 'ANTXR1', 'ANTXR2', 'ANTXRL', 'BCAM', 'BMPR1B', 'C17orf99', 'CALCR', 'CALCRL', 'CD160', 'CD247', 'CD27', 'CD28', 'CD300A', 'CD300C', 'CD300E', 'CD300H', 'CD300LB', 'CD300LD', 'CD300LF', 'CD300LG', 'CD3D', 'CD3E', 'CD3G', 'CD4', 'CD44', 'CD69', 'CD7', 'CD72', 'CD79A', 'CD79B', 'CELSR1', 'CELSR2', 'CELSR3', 'CHRFAM7A', 'CHRNA1', 'CHRNA10', 'CHRNA2', 'CHRNA3', 'CHRNA4', 'CHRNA5', 'CHRNA6', 'CHRNA7', 'CHRNA9', 'CHRNB1', 'CHRNB2', 'CHRNB3', 'CHRNB4', 'CHRND', 'CHRNE', 'CHRNG', 'CLDN3', 'CLDN4', 'CLEC12A', 'CLEC1A', 'CLEC1B', 'CLEC2D', 'CLEC4A', 'CR2', 'CRHR1', 'CRHR2', 'DCC', 'DNER', 'EDA2R', 'EDAR', 'EGFR', 'ENG', 'EPOR', 'ERBB2', 'ERBB3', 'EVI2A', 'FAS', 'FCAMR', 'FCAR', 'FCER1G', 'FCGR2C', 'FCMR', 'FCRL1', 'FCRL2', 'FCRL3', 'FCRL4', 'FCRL5', 'FCRL6', 'FCRLA', 'FCRLB', 'FLT3', 'FZD1', 'FZD10', 'FZD2', 'FZD3', 'FZD4', 'FZD5', 'FZD6', 'FZD7', 'FZD8', 'FZD9', 'GABBR2', 'GABRA1', 'GABRA2', 'GABRA3', 'GABRA4', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRB2', 'GABRB3', 'GABRD', 'GABRE', 'GABRG1', 'GABRG2', 'GABRG3', 'GABRP', 'GABRQ', 'GABRR1', 'GABRR2', 'GABRR3', 'GCGR', 'GHRHR', 'GIPR', 'GLP1R', 'GLP2R', 'GLRA1', 'GLRA2', 'GLRA3', 'GLRB', 'GP1BB', 'GP6', 'GPR157', 'GPR158', 'GPR182', 'HAVCR2', 'HTR3A', 'HTR3B', 'HTR3C', 'HTR3D', 'HTR3E', 'ICAM1', 'IGSF1', 'IGSF6', 'IL11RA', 'IL1R1', 'IL21R', 'IL27RA', 'INTS6', 'KIR2DL1', 'KIR2DL3', 'KIR2DL4', 'KIR2DS4', 'KIR3DL1', 'KIR3DL2', 'KIR3DL3', 'KIR3DX1', 'KLRB1', 'KLRC1', 'KLRC3', 'KLRD1', 'KLRF1', 'KREMEN1', 'KREMEN2', 'LAG3', 'LAIR1', 'LAIR2', 'LEPR', 'LGR4', 'LGR5', 'LGR6', 'LILRA1', 'LILRB3', 'LILRB5', 'LMBR1', 'LMBR1L', 'LRP8', 'LY75', 'LYVE1', 'M6PR', 'MARCO', 'MILR1', 'MRC1', 'MRC2', 'MRGPRX1', 'NCR1', 'NCR2', 'NFAM1', 'NGFR', 'NOTCH1', 'NPC1', 'NRXN1', 'NRXN2', 'NRXN3', 'OR52A1', 'P2RX5', 'P2RX6', 'PDCD1', 'PECAM1', 'PIGR', 'PLA2R1', 'PLXNA2', 'PLXNB1', 'PLXNB2', 'PTH1R', 'PTH2R', 'RYK', 'SCARB2', 'SCARF1', 'SCTR', 'SELE', 'SEMA4D', 'SIGLEC8', 'SLAMF1', 'SLC22A17', 'SMO', 'SORCS1', 'SORCS2', 'SORCS3', 'SORL1', 'SPN', 'TARM1', 'TGFBR3', 'THBD', 'TLR1', 'TLR10', 'TLR2', 'TLR3', 'TLR4', 'TLR5', 'TLR6', 'TMIGD3', 'TNFRSF10C', 'TNFRSF10D', 'TNFRSF11A', 'TNFRSF8', 'TREM1', 'TREM2', 'TREML1', 'TRPV1', 'VIPR1', 'VIPR2', 'VSTM1', 'ZACN']",MER70B,LTR
3,GO:0023029,MHC class Ib protein binding,MF,1.684640314352113e-05,0.07895066833211177,309.01075268817203,2,6,"['KIR2DS4', 'KIR3DL2']","['KIR2DS4', 'KIR3DL2', 'LILRB1', 'LILRB2', 'TAP1', 'TAP2']",MER70B,LTR
