,Term ID,Term Name,Term Database,P-value,FDR,Fold Enrichment,Overlap Count,Total Term Genes (Human),Overlapping Genes,Full Term Gene List,subfamily_name,class_name
1,GO:0000137,Golgi cis cisterna,CC,6.562627640132179e-36,1.2302301774191781e-31,104.84293394777266,19,28,"['GOLGA2', 'GOLGA6A', 'GOLGA6B', 'GOLGA6C', 'GOLGA6D', 'GOLGA8CP', 'GOLGA8DP', 'GOLGA8G', 'GOLGA8H', 'GOLGA8IP', 'GOLGA8J', 'GOLGA8K', 'GOLGA8M', 'GOLGA8N', 'GOLGA8O', 'GOLGA8Q', 'GOLGA8R', 'GOLGA8S', 'GOLGA8T']","['GBF1', 'GOLGA2', 'GOLGA6A', 'GOLGA6B', 'GOLGA6C', 'GOLGA6D', 'GOLGA8A', 'GOLGA8B', 'GOLGA8CP', 'GOLGA8DP', 'GOLGA8G', 'GOLGA8H', 'GOLGA8IP', 'GOLGA8J', 'GOLGA8K', 'GOLGA8M', 'GOLGA8N', 'GOLGA8O', 'GOLGA8Q', 'GOLGA8R', 'GOLGA8S', 'GOLGA8T', 'GOLT1A', 'LLGL1', 'NECAB3', 'SMPD3', 'TMEM59', 'XYLT1']",Charlie16a,DNA
2,GO:0005801,cis-Golgi network,CC,4.598118093321355e-34,4.309816088870106e-30,53.03915904349221,23,67,"['GOLGA2', 'GOLGA6A', 'GOLGA6B', 'GOLGA6C', 'GOLGA6D', 'GOLGA6L2', 'GOLGA6L7', 'GOLGA8CP', 'GOLGA8DP', 'GOLGA8F', 'GOLGA8G', 'GOLGA8H', 'GOLGA8IP', 'GOLGA8J', 'GOLGA8K', 'GOLGA8M', 'GOLGA8N', 'GOLGA8O', 'GOLGA8Q', 'GOLGA8R', 'GOLGA8S', 'GOLGA8T', 'HOOK3']","['AKAP9', 'ANGEL1', 'AZIN2', 'B3GAT3', 'BCL9', 'BET1', 'BLZF1', 'COG3', 'COPZ2', 'FKTN', 'GBF1', 'GOLGA2', 'GOLGA5', 'GOLGA6A', 'GOLGA6B', 'GOLGA6C', 'GOLGA6D', 'GOLGA6L2', 'GOLGA6L7', 'GOLGA8A', 'GOLGA8B', 'GOLGA8CP', 'GOLGA8DP', 'GOLGA8F', 'GOLGA8G', 'GOLGA8H', 'GOLGA8IP', 'GOLGA8J', 'GOLGA8K', 'GOLGA8M', 'GOLGA8N', 'GOLGA8O', 'GOLGA8Q', 'GOLGA8R', 'GOLGA8S', 'GOLGA8T', 'GOLGB1', 'GOLIM4', 'GORASP1', 'GORASP2', 'GOSR1', 'HOOK3', 'IFT20', 'KDELR1', 'KDELR2', 'KDELR3', 'LIMK2', 'LRPAP1', 'MAN2A1', 'MAP6', 'MAP6D1', 'PIK3R1', 'RAB29', 'RAB30', 'RAB3GAP1', 'RETREG1', 'SCFD1', 'SCYL1', 'SLC35C2', 'TMED10', 'TMED5', 'TRAPPC6A', 'TRAPPC6B', 'TRIP11', 'UBXN2A', 'YIPF6', 'YIPF7']",Charlie16a,DNA
3,GO:0032580,Golgi cisterna membrane,CC,2.563564139655545e-25,1.6018857787327617e-21,33.9572255701288,20,91,"['B4GALT3', 'GOLGA2', 'GOLGA6A', 'GOLGA6B', 'GOLGA6C', 'GOLGA6D', 'GOLGA8CP', 'GOLGA8DP', 'GOLGA8G', 'GOLGA8H', 'GOLGA8IP', 'GOLGA8J', 'GOLGA8K', 'GOLGA8M', 'GOLGA8N', 'GOLGA8O', 'GOLGA8Q', 'GOLGA8R', 'GOLGA8S', 'GOLGA8T']","['A3GALT2', 'ABO', 'APH1A', 'ASAP2', 'ATP2C1', 'B3GALT6', 'B4GALNT3', 'B4GALNT4', 'B4GALT1', 'B4GALT2', 'B4GALT3', 'B4GALT5', 'B4GALT6', 'B4GALT7', 'CANT1', 'CHPF', 'CHPF2', 'CHSY1', 'CHSY3', 'COG3', 'CSGALNACT1', 'CSGALNACT2', 'FUT1', 'FUT2', 'FUT3', 'FUT4', 'FUT5', 'FUT6', 'FUT7', 'FUT8', 'GAL3ST2', 'GAL3ST3', 'GAL3ST4', 'GALNT1', 'GALNT2', 'GALNT3', 'GGTA1', 'GOLGA2', 'GOLGA3', 'GOLGA6A', 'GOLGA6B', 'GOLGA6C', 'GOLGA6D', 'GOLGA8A', 'GOLGA8B', 'GOLGA8CP', 'GOLGA8DP', 'GOLGA8G', 'GOLGA8H', 'GOLGA8IP', 'GOLGA8J', 'GOLGA8K', 'GOLGA8M', 'GOLGA8N', 'GOLGA8O', 'GOLGA8Q', 'GOLGA8R', 'GOLGA8S', 'GOLGA8T', 'GOLIM4', 'GOLPH3', 'GOLPH3L', 'GPR89A', 'GPR89B', 'HACE1', 'INPP5E', 'MOB4', 'NAGPA', 'NSG1', 'NSG2', 'PITPNM1', 'PSENEN', 'RAB21', 'SAR1A', 'SAR1B', 'SCFD1', 'SLC30A5', 'SORT1', 'ST3GAL1', 'ST3GAL2', 'ST3GAL3', 'ST3GAL4', 'ST6GAL1', 'ST6GAL2', 'TMED2', 'TMED3', 'TMEM115', 'TMEM87A', 'TMEM87B', 'UXS1', 'ZDHHC14']",Charlie16a,DNA
0,GO:0007030,Golgi organization,BP,1.9649177928143684e-22,9.208587236024538e-19,24.92022199098162,20,124,"['GOLGA2', 'GOLGA6A', 'GOLGA6B', 'GOLGA6C', 'GOLGA6D', 'GOLGA8CP', 'GOLGA8DP', 'GOLGA8G', 'GOLGA8H', 'GOLGA8IP', 'GOLGA8J', 'GOLGA8K', 'GOLGA8M', 'GOLGA8N', 'GOLGA8O', 'GOLGA8Q', 'GOLGA8R', 'GOLGA8S', 'GOLGA8T', 'TMED6']","['AP5Z1', 'ARFGEF1', 'ARHGAP21', 'ARHGEF7', 'ARL1', 'ATP8B1', 'ATP8B2', 'ATP8B3', 'ATP8B4', 'BAG5', 'BHLHA15', 'BLZF1', 'CALN1', 'CDC42', 'CLASP1', 'CLASP2', 'COG1', 'COG2', 'COG3', 'COG4', 'COG5', 'COG6', 'COG7', 'COG8', 'CORO7', 'CSNK1A1', 'CSNK1D', 'CUL7', 'DYM', 'DYNC2H1', 'FAM174B', 'FBXW8', 'GAK', 'GARIN4', 'GBF1', 'GOLGA2', 'GOLGA5', 'GOLGA6A', 'GOLGA6B', 'GOLGA6C', 'GOLGA6D', 'GOLGA8A', 'GOLGA8B', 'GOLGA8CP', 'GOLGA8DP', 'GOLGA8G', 'GOLGA8H', 'GOLGA8IP', 'GOLGA8J', 'GOLGA8K', 'GOLGA8M', 'GOLGA8N', 'GOLGA8O', 'GOLGA8Q', 'GOLGA8R', 'GOLGA8S', 'GOLGA8T', 'GOLGB1', 'GOLPH3', 'GOLPH3L', 'GORASP1', 'GORASP2', 'HACE1', 'HIKESHI', 'HOOK1', 'HTT', 'HUWE1', 'KIFC3', 'LMAN1', 'LRRK2', 'LYSMD3', 'MYO18A', 'NAGLU', 'NPLOC4', 'NSFL1C', 'OBSL1', 'OPTN', 'PI4K2A', 'PI4K2B', 'PLEKHM2', 'PRKD1', 'PTK2B', 'RAB1A', 'RAB1B', 'RAB29', 'RAB2A', 'RAB2B', 'RAB30', 'RAB43', 'RAB6B', 'RAB8A', 'SEC23IP', 'SPTBN5', 'STX17', 'SURF4', 'SYNE1', 'TANGO2', 'TBC1D20', 'TJAP1', 'TMED1', 'TMED10', 'TMED2', 'TMED3', 'TMED4', 'TMED6', 'TMED7', 'TMED9', 'TRAPPC11', 'TRAPPC12', 'TRAPPC8', 'TRIP11', 'UBXN2A', 'UBXN2B', 'USO1', 'USP6NL', 'VCPIP1', 'VMP1', 'VPS13B', 'VPS51', 'YIPF5', 'YIPF7', 'ZFP69B', 'ZNF501', 'ZW10']",Charlie16a,DNA
4,GO:0005794,Golgi apparatus,CC,1.1620528400067473e-12,4.356768507753297e-09,4.462249136291294,32,1108,"['APBA1', 'B4GALT3', 'C17orf75', 'CACFD1', 'CLIC5', 'FAM20A', 'GOLGA2', 'GOLGA6A', 'GOLGA6B', 'GOLGA6C', 'GOLGA6D', 'GOLGA6L2', 'GOLGA6L7', 'GOLGA8CP', 'GOLGA8DP', 'GOLGA8F', 'GOLGA8G', 'GOLGA8H', 'GOLGA8IP', 'GOLGA8J', 'GOLGA8K', 'GOLGA8M', 'GOLGA8N', 'GOLGA8O', 'GOLGA8Q', 'GOLGA8R', 'GOLGA8S', 'GOLGA8T', 'HOOK3', 'NEDD4L', 'RASEF', 'TMED6']","['A3GALT2', 'ABCA1', 'ABCA7', 'ABCB6', 'ABCG1', 'ABO', 'ACBD3', 'ACER2', 'ACHE', 'ACO1', 'ACSL3', 'ACTL7A', 'ADAM10', 'ADCY3', 'ADRB2', 'AFTPH', 'AGBL4', 'AGTRAP', 'AHSG', 'AIMP1', 'AKAP9', 'AKR7A2', 'ANGPTL3', 'ANK3', 'AOC3', 'AP1AR', 'AP1B1', 'AP1G1', 'AP1G2', 'AP1M1', 'AP1M2', 'AP1S1', 'AP1S2', 'AP1S3', 'AP3B1', 'AP3B2', 'AP3D1', 'AP3M1', 'AP3M2', 'AP3S1', 'AP3S2', 'AP4B1', 'AP4E1', 'AP4M1', 'AP4S1', 'APBA1', 'APBA2', 'APBB2', 'APC2', 'APH1A', 'APLP1', 'APOA5', 'APOE', 'APOH', 'APP', 'AQP2', 'ARAP1', 'ARCN1', 'ARF1', 'ARF3', 'ARF4', 'ARF5', 'ARF6', 'ARFGAP1', 'ARFGAP2', 'ARFGAP3', 'ARFGEF1', 'ARFGEF2', 'ARFIP1', 'ARFIP2', 'ARFRP1', 'ARHGAP21', 'ARHGAP32', 'ARHGEF2', 'ARL1', 'ARL17A', 'ARL3', 'ARMH3', 'ARSL', 'ARV1', 'ASAH2', 'ASAP1', 'ATF6', 'ATF6B', 'ATG9A', 'ATL1', 'ATP11B', 'ATP1A1', 'ATP1A3', 'ATP2C1', 'ATP2C2', 'ATP7A', 'ATP7B', 'ATP8A1', 'ATP8A2', 'ATP8B1', 'ATP8B2', 'ATP8B4', 'ATP9A', 'ATP9B', 'ATXN2', 'AVPR1B', 'AVPR2', 'AZIN2', 'B2M', 'B3GALT5', 'B3GALT6', 'B3GAT2', 'B3GAT3', 'B4GALNT1', 'B4GALNT2', 'B4GALNT3', 'B4GALT1', 'B4GALT2', 'B4GALT3', 'B4GALT4', 'B4GALT5', 'B4GALT6', 'B4GALT7', 'B4GAT1', 'BACE1', 'BACE2', 'BAIAP3', 'BCL9', 'BECN1', 'BEND5', 'BET1', 'BET1L', 'BICD1', 'BICD2', 'BIRC6', 'BIRC7', 'BLZF1', 'BMP1', 'BOK', 'BPNT2', 'BSDC1', 'BST2', 'C11orf24', 'C17orf75', 'C1orf43', 'CA4', 'CABP1', 'CABP2', 'CABP7', 'CACFD1', 'CALN1', 'CALU', 'CAMKMT', 'CAMSAP2', 'CANT1', 'CAPN2', 'CAPN8', 'CASD1', 'CAV1', 'CAV2', 'CBL', 'CBLN3', 'CBY1', 'CCAR1', 'CCDC170', 'CCDC186', 'CCDC88A', 'CCDC88B', 'CCDC91', 'CCNB2', 'CCNI', 'CD14', 'CD1E', 'CD247', 'CD33', 'CD36', 'CD74', 'CDH1', 'CDIPT', 'CDK5RAP2', 'CEP57', 'CEP83', 'CEPT1', 'CERKL', 'CERT1', 'CHAC1', 'CHIC2', 'CHPF', 'CHPF2', 'CHPT1', 'CHRNA3', 'CHST10', 'CHST11', 'CHST12', 'CHST13', 'CHST14', 'CHST2', 'CHST3', 'CHST5', 'CHST6', 'CHST7', 'CHST8', 'CHST9', 'CHSY1', 'CHSY3', 'CIB1', 'CIDEB', 'CLASP1', 'CLASP2', 'CLCN3', 'CLCN4', 'CLCN5', 'CLEC16A', 'CLEC18A', 'CLEC18B', 'CLEC18C', 'CLIC5', 'CLINT1', 'CLN3', 'CLN5', 'CLSPN', 'CLU', 'CLVS1', 'CLVS2', 'CNST', 'CNTNAP2', 'COG1', 'COG3', 'COG5', 'COG7', 'COG8', 'COL26A1', 'COLEC10', 'COPA', 'COPB1', 'COPB2', 'COPE', 'COPG1', 'COPG2', 'COQ6', 'CORO7', 'CPE', 'CPQ', 'CPTP', 'CRACR2A', 'CREB3', 'CREB3L4', 'CREG2', 'CRELD2', 'CRHBP', 'CSGALNACT1', 'CSGALNACT2', 'CSNK1D', 'CSPG5', 'CST3', 'CST7', 'CTLA4', 'CUBN', 'CUL3', 'CUL7', 'CUX1', 'CXCL14', 'CYB5R2', 'DAOA', 'DBI', 'DDHD2', 'DENND4B', 'DENND4C', 'DENND5A', 'DHX58', 'DIPK2A', 'DKK2', 'DLG1', 'DNAAF6', 'DNM1L', 'DNMBP', 'DOP1A', 'DOP1B', 'DPAGT1', 'DPY30', 'DRAM2', 'DSE', 'DUSP26', 'DYM', 'DYNAP', 'DYNC2H1', 'DYNC2LI1', 'DYNLT1', 'EBAG9', 'EFHD1', 'EGFR', 'EI24', 'EIPR1', 'ELAPOR1', 'ELMOD1', 'ELMOD3', 'EMID1', 'EMP2', 'ENPP7', 'ENTPD4', 'ENTPD6', 'ENTPD7', 'ERGIC2', 'ERGIC3', 'ESR1', 'EXOC3', 'EXT1', 'EXT2', 'EXTL1', 'EXTL3', 'F2R', 'F2RL1', 'FAIM2', 'FAM114A1', 'FAM174B', 'FAM177A1', 'FAM20A', 'FAM20B', 'FAM20C', 'FAM241A', 'FAM3C', 'FAM91A1', 'FAT2', 'FBXW8', 'FCMR', 'FEM1A', 'FES', 'FEZ1', 'FGD1', 'FGD2', 'FGD3', 'FGD4', 'FGD5', 'FGD6', 'FGF22', 'FGF7', 'FGFR2', 'FGFR3', 'FGFR4', 'FGFRL1', 'FHDC1', 'FIBIN', 'FKRP', 'FKTN', 'FNDC3A', 'FTCD', 'FURIN', 'FUT1', 'FUT10', 'FUT2', 'FUT4', 'FUT5', 'FUT6', 'FUT7', 'FUT8', 'FUT9', 'FZD5', 'FZD8', 'FZD9', 'GABARAP', 'GABARAPL1', 'GABARAPL2', 'GAK', 'GALNT1', 'GALNT10', 'GALNT11', 'GALNT12', 'GALNT13', 'GALNT14', 'GALNT15', 'GALNT16', 'GALNT17', 'GALNT18', 'GALNT2', 'GALNT3', 'GALNT4', 'GALNT5', 'GALNT6', 'GALNT7', 'GALNT8', 'GALNT9', 'GALNTL5', 'GALNTL6', 'GALT', 'GANAB', 'GARIN1A', 'GARIN1B', 'GARIN3', 'GARIN4', 'GARIN5A', 'GAS8', 'GASK1A', 'GASK1B', 'GBA1', 'GBF1', 'GBGT1', 'GBP1', 'GBP2', 'GBP4', 'GBP5', 'GCC1', 'GCC2', 'GCNT4', 'GDF15', 'GDI1', 'GDI2', 'GDNF', 'GFRA1', 'GFY', 'GGA1', 'GGA2', 'GGA3', 'GGNBP1', 'GIGYF2', 'GIMAP7', 'GIMAP8', 'GJA1', 'GKAP1', 'GKN1', 'GLA', 'GLCE', 'GLG1', 'GLT6D1', 'GLT8D1', 'GLT8D2', 'GNAI3', 'GNAQ', 'GNPNAT1', 'GNPTAB', 'GNPTG', 'GOLGA1', 'GOLGA2', 'GOLGA3', 'GOLGA4', 'GOLGA5', 'GOLGA6A', 'GOLGA6B', 'GOLGA6C', 'GOLGA6D', 'GOLGA6L2', 'GOLGA6L7', 'GOLGA8A', 'GOLGA8B', 'GOLGA8CP', 'GOLGA8DP', 'GOLGA8F', 'GOLGA8G', 'GOLGA8H', 'GOLGA8IP', 'GOLGA8J', 'GOLGA8K', 'GOLGA8M', 'GOLGA8N', 'GOLGA8O', 'GOLGA8Q', 'GOLGA8R', 'GOLGA8S', 'GOLGA8T', 'GOLGB1', 'GOLIM4', 'GOLM1', 'GOLM2', 'GOLPH3', 'GOLPH3L', 'GOPC', 'GORAB', 'GORASP1', 'GORASP2', 'GOSR1', 'GOSR2', 'GPER1', 'GPR107', 'GPR108', 'GPR143', 'GPSM1', 'GRB2', 'GRINA', 'GRN', 'GSAP', 'HAS1', 'HAS2', 'HAS3', 'HCK', 'HEATR5A', 'HEATR5B', 'HEPACAM2', 'HERC1', 'HFM1', 'HHAT', 'HID1', 'HIP1', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-DPA1', 'HLA-DPB1', 'HLA-DQA1', 'HLA-DQA2', 'HLA-DQB1', 'HLA-DQB2', 'HOOK2', 'HOOK3', 'HRAS', 'HS2ST1', 'HS3ST1', 'HS6ST1', 'HS6ST2', 'HS6ST3', 'HTT', 'IFT20', 'IFT27', 'IFT57', 'IFT74', 'IGF2R', 'IL15', 'IL17RD', 'INPP5B', 'INPP5E', 'IRGM', 'ITGA5', 'ITM2A', 'ITM2B', 'ITM2C', 'JAKMIP2', 'JAKMIP3', 'KBTBD8', 'KCNA5', 'KCNIP3', 'KCNJ6', 'KDELR1', 'KDR', 'KIAA0319L', 'KIF1C', 'KIF20A', 'KIFAP3', 'KIFC3', 'KLHL20', 'KLK11', 'LACTB2', 'LAMTOR1', 'LAPTM4A', 'LARGE1', 'LARGE2', 'LAX1', 'LDLR', 'LEPROT', 'LFNG', 'LGI1', 'LGR5', 'LIPG', 'LITAF', 'LLGL1', 'LMAN1', 'LMAN2', 'LMAN2L', 'LMTK2', 'LPCAT1', 'LRBA', 'LRP2', 'LRP6', 'LRPAP1', 'LRRK2', 'LST1', 'LTBR', 'LYN', 'LYSET', 'LYSMD3', 'LYZ', 'LZTR1', 'M6PR', 'MACF1', 'MALRD1', 'MAN1A1', 'MAN1A2', 'MAN1B1', 'MAN2A1', 'MANEA', 'MANSC1', 'MAP2K1', 'MAP2K2', 'MAP6', 'MAP6D1', 'MAPK1', 'MAPK15', 'MAPK3', 'MAPK8IP3', 'MAPKAP1', 'MAPRE1', 'MARCHF1', 'MASP2', 'MBOAT4', 'MBTPS1', 'MCFD2', 'MDGA1', 'MGAT1', 'MGAT2', 'MGAT5', 'MGAT5B', 'MINK1', 'MLANA', 'MMD', 'MMGT1', 'MMP24', 'MOB4', 'MON2', 'MOSMO', 'MPHOSPH9', 'MPIG6B', 'MPL', 'MPPE1', 'MS4A4A', 'MSLN', 'MTOR', 'MTTP', 'MTUS1', 'MYDGF', 'MYH9', 'MYO18A', 'MYO6', 'MYOC', 'NAGPA', 'NAPEPLD', 'NAPG', 'NCS1', 'NCSTN', 'NDFIP1', 'NDFIP2', 'NDRG2', 'NDST1', 'NDST2', 'NDST3', 'NDST4', 'NECAB3', 'NEDD4', 'NEDD4L', 'NEDD9', 'NIPAL1', 'NLGN1', 'NLRP5', 'NMNAT2', 'NMT2', 'NOS3', 'NPC1', 'NPY', 'NRAS', 'NSG1', 'NSG2', 'NTN3', 'NTSR1', 'NUCB1', 'NUCB2', 'NUDT18', 'OBSL1', 'OCIAD1', 'OCIAD2', 'OCRL', 'OLFM3', 'OPALIN', 'OPRM1', 'OPTN', 'OSBP', 'OSBPL11', 'OSBPL9', 'P3H2', 'PACS1', 'PAK4', 'PALS1', 'PAQR3', 'PARM1', 'PARP12', 'PCSK1N', 'PCSK5', 'PCSK7', 'PCSK9', 'PDCD10', 'PDE2A', 'PDE3B', 'PDE4DIP', 'PDE9A', 'PDGFRA', 'PDXDC1', 'PERP', 'PEX5', 'PHETA1', 'PHETA2', 'PHEX', 'PHTF1', 'PI4K2A', 'PI4KB', 'PICALM', 'PICK1', 'PIK3C2A', 'PITPNB', 'PKD1', 'PKD2', 'PKDCC', 'PKHD1', 'PKMYT1', 'PKN3', 'PLA2G4A', 'PLA2G5', 'PLD1', 'PLD4', 'PLD6', 'PLEKHA3', 'PLEKHA8', 'PLEKHM3', 'PLIN3', 'PLK3', 'PLLP', 'PLOD1', 'PLOD2', 'PLOD3', 'PLPP3', 'PLSCR1', 'PMEL', 'PNKD', 'POF1B', 'POFUT2', 'POSTN', 'PPP1R15A', 'PPT1', 'PRAME', 'PRCD', 'PREPL', 'PRKCD', 'PRKCE', 'PRKD1', 'PRKD2', 'PRKG1', 'PRKN', 'PRMT5', 'PRNP', 'PROC', 'PRRC1', 'PSEN1', 'PSEN2', 'PSENEN', 'PSKH1', 'PSMG1', 'PTCH1', 'PTGDS', 'PTGFRN', 'PTPRN', 'PXYLP1', 'QPCTL', 'QSOX1', 'QSOX2', 'RAB10', 'RAB11A', 'RAB11B', 'RAB11FIP3', 'RAB11FIP5', 'RAB13', 'RAB14', 'RAB18', 'RAB1A', 'RAB1B', 'RAB20', 'RAB21', 'RAB25', 'RAB26', 'RAB27A', 'RAB27B', 'RAB29', 'RAB2A', 'RAB2B', 'RAB30', 'RAB31', 'RAB32', 'RAB33A', 'RAB33B', 'RAB34', 'RAB36', 'RAB37', 'RAB38', 'RAB39B', 'RAB3B', 'RAB3GAP1', 'RAB40A', 'RAB40C', 'RAB41', 'RAB43', 'RAB6A', 'RAB6B', 'RAB6C', 'RAB6D', 'RAB7B', 'RAB8A', 'RABAC1', 'RABGAP1L', 'RAF1', 'RAP2A', 'RAPSN', 'RASEF', 'RASGRP1', 'RELCH', 'RER1', 'RESP18', 'RETREG1', 'RGS19', 'RHBDD2', 'RHO', 'RHOBTB3', 'RICTOR', 'RIPOR1', 'RNF115', 'RNF122', 'RNF125', 'RNF128', 'RNF133', 'RNF144A', 'RNF148', 'RNF149', 'RNF183', 'RNF24', 'RP2', 'RPGR', 'RSAD2', 'RSC1A1', 'RTN3', 'RUBCN', 'RUSC1', 'RXYLT1', 'S100A3', 'SACM1L', 'SART1', 'SCAMP1', 'SCAMP2', 'SCAMP5', 'SCAP', 'SCLY', 'SCOC', 'SCRG1', 'SCYL1', 'SCYL2', 'SCYL3', 'SEC14L1', 'SEC16A', 'SEC22B', 'SEC23IP', 'SECTM1', 'SELENOH', 'SELENOI', 'SELENOK', 'SELENOM', 'SERINC3', 'SERINC5', 'SERPINA1', 'SFTA2', 'SGCE', 'SGMS2', 'SGSM1', 'SGSM3', 'SH3RF1', 'SHH', 'SI', 'SIPA1L3', 'SLC10A7', 'SLC11A2', 'SLC16A13', 'SLC1A6', 'SLC22A13', 'SLC24A5', 'SLC26A11', 'SLC29A3', 'SLC2A13', 'SLC30A1', 'SLC30A10', 'SLC30A5', 'SLC30A6', 'SLC30A7', 'SLC30A8', 'SLC35A1', 'SLC35A2', 'SLC35A3', 'SLC35A4', 'SLC35B2', 'SLC35B4', 'SLC35C1', 'SLC35C2', 'SLC35D1', 'SLC35D2', 'SLC35D3', 'SLC35E1', 'SLC35E2A', 'SLC35E2B', 'SLC35E3', 'SLC35E4', 'SLC35G2', 'SLC38A10', 'SLC39A11', 'SLC39A13', 'SLC39A7', 'SLC39A9', 'SLC50A1', 'SLC6A4', 'SLC9A7', 'SLC9A8', 'SMO', 'SMPD3', 'SMPD4', 'SNX1', 'SNX17', 'SNX9', 'SOD3', 'SORCS1', 'SORL1', 'SORT1', 'SOST', 'SPAG17', 'SPATA16', 'SPEF2', 'SPG21', 'SPINT2', 'SPP1', 'SPPL3', 'SREBF1', 'SREBF2', 'SRGN', 'ST3GAL1', 'ST6GAL1', 'ST6GAL2', 'ST8SIA2', 'ST8SIA3', 'ST8SIA4', 'STC2', 'STING1', 'STIP1', 'STK16', 'STK24', 'STK25', 'STK26', 'STMN2', 'STMN3', 'STMN4', 'STRN3', 'STS', 'STX11', 'STX12', 'STX16', 'STX5', 'STX6', 'SULF1', 'SULF2', 'SUN5', 'SURF4', 'SYAP1', 'SYN1', 'SYNDIG1L', 'SYNE1', 'SYNRG', 'SYT1', 'SYT11', 'SYT4', 'TANGO2', 'TBC1D1', 'TBC1D14', 'TBC1D22A', 'TBC1D22B', 'TBC1D23', 'TBC1D4', 'TBC1D5', 'TCP1', 'TENM1', 'TENM2', 'TEPSIN', 'TGDS', 'TGM4', 'TGOLN2', 'TICAM2', 'TIMM50', 'TJAP1', 'TLR1', 'TLR2', 'TLR6', 'TM9SF2', 'TM9SF4', 'TMBIM1', 'TMBIM4', 'TMC6', 'TMC8', 'TMED1', 'TMED10', 'TMED2', 'TMED3', 'TMED4', 'TMED5', 'TMED6', 'TMED7', 'TMED9', 'TMEM115', 'TMEM130', 'TMEM165', 'TMEM167A', 'TMEM167B', 'TMEM192', 'TMEM209', 'TMEM214', 'TMEM230', 'TMEM241', 'TMEM30A', 'TMEM30B', 'TMEM43', 'TMEM45B', 'TMEM79', 'TMEM87A', 'TMEM87B', 'TMF1', 'TNFRSF10A', 'TNKS', 'TPP1', 'TPST1', 'TPST2', 'TRAPPC1', 'TRAPPC10', 'TRAPPC11', 'TRAPPC12', 'TRAPPC2L', 'TRAPPC3', 'TRAPPC3L', 'TRAPPC5', 'TRAPPC6A', 'TRAPPC6B', 'TRAPPC8', 'TRAPPC9', 'TRIM3', 'TRIM7', 'TRIP10', 'TRIP11', 'TRPM4', 'TSC2', 'TSNAX', 'TTC3', 'TVP23B', 'TVP23C', 'TXNDC8', 'UBA5', 'UBXN2A', 'UBXN2B', 'UNC13B', 'UNC50', 'USO1', 'USP32', 'USP33', 'USP6', 'USP6NL', 'UST', 'UXS1', 'VAMP4', 'VAMP5', 'VAMP7', 'VAPB', 'VCAM1', 'VEGFA', 'VGF', 'VIPAS39', 'VPS13A', 'VPS13B', 'VPS33B', 'VPS41', 'VPS45', 'VPS51', 'VPS52', 'VPS53', 'VPS54', 'VTI1A', 'VTI1B', 'WDR11', 'WDR44', 'WDR77', 'WDR81', 'WHAMM', 'WIPI1', 'WLS', 'WWOX', 'XYLT1', 'XYLT2', 'YES1', 'YIF1A', 'YIF1B', 'YIPF1', 'YIPF2', 'YIPF3', 'YIPF4', 'YIPF5', 'YIPF7', 'YKT6', 'ZDHHC1', 'ZDHHC11', 'ZDHHC12', 'ZDHHC13', 'ZDHHC14', 'ZDHHC15', 'ZDHHC16', 'ZDHHC17', 'ZDHHC18', 'ZDHHC19', 'ZDHHC2', 'ZDHHC20', 'ZDHHC21', 'ZDHHC22', 'ZDHHC23', 'ZDHHC24', 'ZDHHC3', 'ZDHHC4', 'ZDHHC6', 'ZDHHC7', 'ZDHHC8', 'ZDHHC9', 'ZFPL1', 'ZFYVE1']",Charlie16a,DNA
