,Term ID,Term Name,Term Database,P-value,FDR,Fold Enrichment,Overlap Count,Total Term Genes (Human),Overlapping Genes,Full Term Gene List,subfamily_name,class_name
0,GO:0015884,folic acid transport,BP,1.4230070834744961e-06,0.026675690786812905,1026.357142857143,2,8,"['FOLR1', 'FOLR3']","['FOLR1', 'FOLR2', 'FOLR3', 'PDPN', 'SLC19A1', 'SLC19A2', 'SLC25A32', 'SLC46A1']",MER84-int,LTR
3,GO:0005542,folic acid binding,MF,3.3526747747011687e-06,0.031424620663274054,684.2380952380952,2,12,"['FOLR1', 'FOLR3']","['DHFR', 'FOLR1', 'FOLR2', 'FOLR3', 'FTCD', 'FTCDNL1', 'GNMT', 'IZUMO1R', 'MTHFS', 'SLC19A1', 'SLC46A1', 'TYMS']",MER84-int,LTR
1,GO:0035036,sperm-egg recognition,BP,5.331944617655868e-06,0.033317544600858964,547.3904761904761,2,15,"['FOLR1', 'FOLR3']","['CD9', 'DCST1', 'DCST2', 'FOLR1', 'FOLR2', 'FOLR3', 'FREY1', 'IZUMO1', 'IZUMO1R', 'SPACA3', 'SPACA4', 'SPACA6', 'SPESP1', 'SPPL2C', 'TMEM81']",MER84-int,LTR
2,GO:0007342,fusion of sperm to egg plasma membrane involved in single fertilization,BP,1.9166068704693247e-05,0.0898217809845449,293.2448979591837,2,28,"['FOLR1', 'FOLR3']","['ADAM2', 'CD9', 'CRISP1', 'DCST1', 'DCST2', 'EQTN', 'FOLR1', 'FOLR2', 'FOLR3', 'FREY1', 'GLIPR1L1', 'IZUMO1', 'IZUMO1R', 'LLCFC1', 'LYZL4', 'LYZL6', 'ROPN1B', 'SERPINA5', 'SPACA3', 'SPACA5', 'SPACA6', 'SPAM1', 'SPATA46', 'SPESP1', 'SPPL2C', 'TMEM95', 'TPST2', 'WDR54']",MER84-int,LTR
