family_name,p_adj_bh,stars
Alu,7.41304742030906e-36,***
L1,2.9550798591277013e-282,***
MIR,6.227639370500829e-29,***
L2,7.023559221976294e-07,***
ERVL-MaLR,2.2046002713987017e-51,***
hAT-Charlie,3.8156166792281754e-16,***
ERV1,6.727353129081231e-24,***
ERVL,1.6837292339306013e-48,***
TcMar-Tigger,0.4739648363743061,ns
hAT-Tip100,0.13265742483035176,ns
CR1,8.923173978741445e-26,***
Gypsy,0.37521378020279983,ns
hAT-Blackjack,0.9478930907532244,ns
TcMar-Mariner,0.5618930259181362,ns
RTE-X,0.5573166256824412,ns
ERVK,0.069462959942134,ns
TcMar-Tc2,0.6281438539931365,ns
SVA,4.593447472411928e-06,***
RTE-BovB,0.37521378020279983,ns
tRNA-RTE,0.37521378020279983,ns
hAT-Ac,1.2909667645365018e-08,***
hAT,0.026615890401061444,*
MULE-MuDR,0.6231410294218894,ns
PiggyBac,0.35079344461945766,ns
5S-Deu-L2,0.9599214582533864,ns
Helitron,0.5573166256824412,ns
hAT-Tag1,0.07324022841452754,ns
tRNA,0.5573166256824412,ns
Penelope,0.9487416030340101,ns
TcMar-Tc1,0.05271537458429195,ns
Dong-R4,0.9487416030340101,ns
tRNA-Deu,0.9487416030340101,ns
Kolobok,0.950688750412645,ns
PIF-Harbinger,0.6231410294218894,ns
Crypton,0.7370424753619582,ns
Merlin,0.6231410294218894,ns
TcMar,0.01318612243842232,*
L1-Tx1,0.7634161495132564,ns
Crypton-A,0.5573166256824412,ns
I-Jockey,0.950688750412645,ns
hAT-Tip100?,0.47851773992360996,ns
TcMar-Pogo,0.5573166256824412,ns
hAT?,0.4739648363743061,ns
hAT-hAT19,1.0,ns
