level,window,percentile,group,n_terms_published,n_terms,n_shared,jaccard,fraction_of_published_preserved
families,20kb,10,ERVL-MaLR,12,22,8,0.3076923076923077,0.6666666666666666
families,20kb,10,Gypsy,6,13,5,0.35714285714285715,0.8333333333333334
families,20kb,10,L1,22,33,18,0.4864864864864865,0.8181818181818182
families,20kb,10,L2,1,8,1,0.125,1.0
families,20kb,10,MIR,23,59,17,0.26153846153846155,0.7391304347826086
families,20kb,10,Penelope,0,1,0,0.0,
families,20kb,10,RTE-BovB,0,3,0,0.0,
families,20kb,10,SVA,5,7,3,0.3333333333333333,0.6
families,20kb,10,TcMar-Tc1,0,1,0,0.0,
families,20kb,10,TcMar-Tigger,0,1,0,0.0,
families,20kb,10,hAT-Charlie,2,6,1,0.14285714285714285,0.5
families,20kb,10,hAT-Tip100,1,6,0,0.0,0.0
