seed,DNA,LINE,LTR,RC,Retroposon,SINE,total_rows
132,32583,127282,40261,122,513,112374,313135
133,32214,127013,40367,117,501,112380,312592
134,32626,127428,39664,135,497,111869,312219
135,32212,127774,40035,113,529,111558,312221
136,32728,127537,39798,162,488,112944,313657
137,32750,127348,39892,124,507,112166,312787
138,32446,127721,40279,123,529,112169,313267
139,32685,126902,39846,137,510,111727,311807
140,32682,126237,39825,108,508,112701,312061
141,32324,126934,40260,163,508,112192,312381
142,32577,127654,40192,128,502,112898,313951
143,32891,126274,40087,128,473,112116,311969
144,32783,126414,39779,136,533,112638,312283
145,32776,126664,39969,146,536,112269,312360
146,32383,126794,40146,154,523,112465,312465
147,32657,126370,40085,137,476,112725,312450
148,32558,127240,39487,124,476,112226,312111
149,32670,126913,40090,130,535,112857,313195
150,32402,127809,40067,127,537,112920,313862
151,31884,126702,39952,138,514,112851,312041
152,32756,126770,39968,147,474,112008,312123
153,32316,127059,40066,146,503,112144,312234
154,32372,126760,39867,126,508,111883,311516
155,32606,127339,39895,124,521,112571,313056
156,32718,127092,40105,148,539,113155,313757
157,32599,126605,40234,123,494,111901,311956
158,32483,126441,40324,146,470,112104,311968
159,32636,126371,39772,134,509,112435,311857
160,32795,126617,40101,124,553,112197,312387
161,33232,127078,39798,120,495,113100,313823
162,32680,127324,40232,124,511,112397,313268
163,32438,126412,40327,139,514,111527,311357
164,32439,127266,39938,153,497,112424,312717
165,32466,126506,40650,172,493,113240,313527
166,32759,126687,40392,122,556,112039,312555
167,32646,127014,40473,160,520,113027,313840
168,32514,126914,39995,118,492,112670,312703
169,32325,126889,39908,110,556,112415,312203
170,32663,126452,40166,114,525,112405,312325
171,32560,126807,39968,161,496,112692,312684
172,32642,127029,40034,130,523,112851,313209
173,32612,126560,39712,141,454,111367,310846
174,32568,126639,39731,119,528,112141,311726
175,32916,127063,40066,127,522,112458,313152
176,32299,126675,39983,171,545,112012,311685
177,32422,126610,40117,114,468,112264,311995
178,32647,125457,39739,155,489,112645,311132
179,32208,127269,40230,128,487,112463,312785
180,32408,127112,39957,125,453,112755,312810
181,32579,126837,40652,155,503,112991,313717
182,32152,126985,40418,147,501,112983,313186
183,32451,126161,40130,129,543,112261,311675
184,32828,126944,39924,131,503,112816,313146
185,32465,127107,39911,136,521,111813,311953
186,32473,127402,40020,129,493,112562,313079
187,32114,126457,40405,162,524,112654,312316
188,32860,126771,39829,153,526,113009,313148
189,32782,127752,40408,138,553,112502,314135
190,32450,127237,40258,126,546,111963,312580
191,32369,127459,40002,116,483,112074,312503
192,32181,127493,40019,143,524,112712,313072
193,32943,126677,40283,127,526,112601,313157
194,32439,127625,40624,139,500,113069,314396
195,32958,126958,39730,138,515,112432,312731
196,32989,125819,39928,98,509,112839,312182
197,32874,126619,40356,132,522,112810,313313
198,32513,126934,40167,144,552,112624,312934
199,32592,126180,40362,137,523,113038,312832
200,32902,127265,40023,142,488,112682,313502
201,32457,126557,40351,131,527,112791,312814
202,32218,126971,40323,124,520,112462,312618
203,32122,126911,39544,116,526,112824,312043
204,32677,126790,40144,143,463,112143,312360
205,32367,126800,39921,116,458,112574,312236
206,33219,126336,39818,115,528,112323,312339
207,32338,127718,39922,151,545,112434,313108
208,32712,126690,39840,130,565,112239,312176
209,32643,126767,40346,135,515,111870,312276
210,32717,126768,39584,118,496,111896,311579
211,33112,127621,40027,141,487,111888,313276
212,32635,128320,39767,132,562,112555,313971
213,32557,127338,39656,136,507,112475,312669
214,32045,126424,39908,155,499,112828,311859
215,32750,126955,39788,132,550,112487,312662
216,32635,127239,40203,117,500,112318,313012
217,32529,125908,40125,138,516,113476,312692
218,32560,127049,39909,118,535,112772,312943
219,32855,126660,40206,127,549,112011,312408
220,32589,127369,39997,139,465,112765,313324
221,33052,126775,40365,142,519,113008,313861
222,32432,126546,39595,159,520,112298,311550
223,32615,125817,40032,121,501,112716,311802
224,32290,126831,39974,126,482,111950,311653
225,32380,126069,40071,163,532,112347,311562
226,32186,125795,40117,148,473,112695,311414
227,32590,126199,39632,118,508,112598,311645
228,32260,126915,40089,133,488,112009,311894
229,32163,127370,40080,132,468,113433,313646
230,32330,126365,40060,137,465,111732,311089
231,32169,126989,40020,109,560,112834,312681
232,32467,126802,40374,131,497,113409,313680
233,32760,127083,39928,125,466,112633,312995
234,33018,127301,39952,135,563,112660,313629
235,32713,126706,40198,157,490,112202,312466
236,32263,126956,40465,159,490,112233,312566
237,32526,126551,40229,152,578,112056,312092
238,32525,127727,39794,149,493,111734,312422
239,32705,125862,39927,133,458,112975,312060
240,32633,126422,40286,121,472,112673,312607
241,32849,126600,40195,115,472,112624,312855
242,32730,126310,40139,140,531,112375,312225
243,32612,126753,39899,110,566,112103,312043
244,32340,128031,40362,120,479,112144,313476
245,32880,126485,39699,151,529,112070,311814
246,32621,127430,39986,111,506,111946,312600
247,32433,126737,39924,137,510,112924,312665
248,32501,126738,39938,110,502,113096,312885
