seed,DNA,LINE,LTR,RC,Retroposon,SINE,total_rows
1,117743,313609,139199,448,1602,428901,1001502
2,118047,314567,138803,451,1780,430166,1003814
3,117706,315204,139292,453,1607,430323,1004585
4,118299,314011,138759,479,1827,429531,1002906
5,118618,314407,137739,464,1705,430492,1003425
6,118316,313095,139546,492,1674,431237,1004360
7,117596,314464,138969,501,1670,429803,1003003
8,117426,314531,138642,511,1713,428326,1001149
9,117256,314182,139493,484,1693,429781,1002889
10,117154,314326,138284,496,1714,430011,1001985
11,117423,314511,138819,461,1597,430031,1002842
12,118435,313993,139569,473,1682,430700,1004852
13,118744,314785,138809,475,1638,428787,1003238
14,118123,314352,139557,455,1704,430054,1004245
15,118421,314444,138739,493,1638,430504,1004239
16,116849,314240,139492,419,1766,429826,1002592
17,116987,313532,138135,468,1678,431083,1001883
18,118389,314394,138643,516,1696,429978,1003616
19,117282,314736,139298,513,1769,429065,1002663
20,117157,313019,138842,498,1748,431122,1002386
21,118286,315761,139210,452,1659,430918,1006286
22,118546,314153,139016,488,1604,431201,1005008
23,118262,312562,139131,480,1659,431624,1003718
24,117753,314572,139393,449,1607,429372,1003146
25,117452,314921,139556,478,1611,430375,1004393
26,118147,313775,139625,466,1616,429303,1002932
27,116653,315135,139387,497,1695,429739,1003106
28,117952,313132,139106,471,1735,431367,1003763
29,117725,313808,139667,465,1664,430150,1003479
30,117998,313810,139174,472,1700,431590,1004744
31,118098,313236,137983,490,1612,429613,1001032
32,117513,313727,139089,496,1728,429354,1001907
33,117272,313886,139684,499,1697,432717,1005755
34,118255,312987,138613,471,1610,431406,1003342
35,117748,313212,138386,525,1637,431474,1002982
36,117244,314693,138646,454,1656,428411,1001104
37,117585,314453,138972,494,1679,430287,1003470
38,117662,313469,138774,469,1685,430267,1002326
39,117985,311661,138791,516,1644,429614,1000211
40,118462,315488,139583,465,1705,430417,1006120
41,118627,313620,138203,466,1665,430357,1002938
42,117340,313854,138835,453,1681,429358,1001521
43,117364,313659,138964,419,1758,430568,1002732
44,117696,312978,138437,482,1645,430672,1001910
45,118413,312847,139173,455,1608,431169,1003665
46,118743,313297,139784,481,1696,432025,1006026
47,117426,313864,139630,443,1671,430516,1003550
48,117660,314106,139754,513,1784,429182,1002999
49,117559,313870,139411,569,1740,430179,1003328
50,118617,313099,139277,464,1646,430233,1003336
51,117944,314752,139376,472,1700,430648,1004892
52,117489,312437,139199,486,1780,430026,1001417
53,118637,315573,139599,486,1705,429903,1005903
54,116819,313615,139150,514,1688,429646,1001432
55,118216,313925,139075,463,1651,432021,1005351
56,118384,313889,139467,445,1638,429913,1003736
57,117652,314886,138322,460,1642,430524,1003486
58,117617,314614,138686,458,1660,430906,1003941
59,118197,313426,138184,428,1707,428999,1000941
60,117365,313930,139493,484,1687,430515,1003474
61,118003,313336,139561,527,1588,431430,1004445
62,117399,312852,139849,514,1655,430329,1002598
63,117933,313542,138688,498,1652,430008,1002321
64,117333,314686,139625,452,1593,430417,1004106
65,117935,312919,138682,516,1578,429949,1001579
66,118092,313515,139577,478,1696,429656,1003014
67,117802,313565,139369,503,1608,430581,1003428
68,118211,313944,138321,475,1648,428651,1001250
69,117175,312884,139127,486,1592,430969,1002233
70,118308,314606,138865,489,1755,430819,1004842
71,118231,314169,139571,476,1712,431212,1005371
72,118189,314931,140067,470,1613,430280,1005550
73,118292,314271,138827,526,1703,430629,1004248
74,117641,314284,138923,459,1659,430109,1003075
75,118270,312903,138653,467,1630,430655,1002578
76,118687,313537,138728,519,1653,429677,1002801
77,118197,315097,138499,476,1666,428771,1002706
78,117375,314353,139626,486,1597,430091,1003528
79,118376,313780,138530,462,1724,430665,1003537
80,117741,314212,138721,487,1689,430547,1003397
81,117782,315296,138659,427,1639,431706,1005509
82,117303,313757,139044,500,1673,429451,1001728
83,117838,313404,139348,466,1693,429350,1002099
84,117510,312903,139332,493,1665,429876,1001779
85,118735,312748,139580,468,1606,428456,1001593
86,117559,313905,139523,499,1751,430410,1003647
87,117837,315178,139174,520,1743,429027,1003479
88,117480,313980,138449,469,1716,429796,1001890
89,117444,314105,138936,490,1652,430242,1002869
90,117413,314169,139233,479,1769,429515,1002578
91,117948,315766,138944,459,1745,429847,1004709
92,117595,315139,139767,499,1585,430049,1004634
93,117809,314373,138296,491,1716,430970,1003655
94,117816,314525,138806,524,1768,430175,1003614
95,117211,315442,139339,478,1670,429470,1003610
96,117943,314209,138981,469,1716,430064,1003382
97,117200,314014,139670,428,1722,431170,1004204
98,117493,315329,139462,463,1657,431014,1005418
99,118676,313052,139020,504,1654,430222,1003128
100,117423,314431,137537,461,1707,429754,1001313
101,118099,314536,139489,510,1662,429791,1004087
102,117667,314194,139193,487,1596,429308,1002445
