seed,,5S-Deu-L2,Alu,CR1,Crypton,Crypton-A,Dong-R4,ERV1,ERVK,ERVL,ERVL-MaLR,Gypsy,Helitron,I-Jockey,Kolobok,L1,L1-Tx1,L2,MIR,MULE-MuDR,Merlin,PIF-Harbinger,Penelope,PiggyBac,RTE-BovB,RTE-X,SVA,TcMar,TcMar-Mariner,TcMar-Pogo,TcMar-Tc1,TcMar-Tc2,TcMar-Tigger,hAT,hAT-Ac,hAT-Blackjack,hAT-Charlie,hAT-Tag1,hAT-Tip100,hAT-Tip100?,hAT-hAT19,hAT?,tRNA,tRNA-Deu,tRNA-RTE
27,1378,139,77016,5347,18,8,54,9564,649,8972,18464,1456,125,17,27,80241,5,40090,34341,201,19,40,61,159,589,1384,515,18,1007,1,49,520,7688,213,328,1094,16032,222,4116,8,1,2,113,37,256
28,1469,157,76864,5495,14,4,50,9704,704,9082,18411,1486,127,8,20,79995,15,39160,35394,225,14,31,49,156,539,1342,469,13,1139,8,47,537,8115,191,336,1075,16022,187,4190,13,1,5,102,23,269
29,1490,138,77215,5384,28,13,59,9935,686,8951,18056,1516,112,10,24,79742,14,39626,35101,217,21,28,61,160,501,1245,517,15,1099,2,46,475,8009,220,334,1099,16112,169,4168,6,3,2,120,23,250
30,1398,139,76851,5300,16,8,63,9665,665,9198,18400,1435,124,8,20,79699,10,39334,35277,218,15,27,45,139,535,1305,476,23,1015,1,31,503,7940,196,352,1021,16016,190,4188,6,0,5,106,28,248
31,1460,123,76959,5188,10,10,63,9661,599,8907,18058,1477,142,4,41,79397,10,39955,35233,194,15,10,71,163,564,1389,472,14,1032,4,65,524,8052,214,338,1043,16100,207,4238,7,0,4,121,27,278
32,1483,142,76443,5291,18,5,53,9773,708,9066,18441,1321,122,5,23,79535,5,39480,35307,221,14,24,51,148,545,1336,526,12,1020,0,50,506,7554,233,303,1133,16029,176,4135,3,0,3,97,34,246
33,1472,117,77492,5277,23,12,62,9511,704,9131,18425,1344,122,13,23,79557,17,40282,35267,244,14,27,60,130,530,1398,507,17,1009,2,42,515,7821,228,321,1138,15951,187,4025,5,2,2,107,22,289
34,1449,144,76821,5330,16,4,55,9451,658,8972,18392,1432,132,6,20,79537,9,39893,35213,198,16,22,66,169,565,1316,469,10,1121,0,44,464,7928,177,348,1118,16160,246,4074,4,3,4,83,31,268
35,1482,157,77337,5443,24,12,44,9591,681,9174,18411,1518,137,13,23,79218,11,39844,34910,179,19,40,66,150,588,1253,516,9,1024,3,44,471,7990,197,356,1132,16355,185,4137,8,0,0,102,27,286
36,1476,142,76551,5421,22,8,49,9571,673,9072,18255,1436,128,8,31,79394,11,40291,35136,243,18,40,60,170,596,1332,506,15,1028,4,41,528,7902,193,345,1071,15890,213,4107,6,0,3,124,31,269
37,1461,146,77095,5452,22,9,70,9841,605,8993,18296,1445,143,5,33,79891,9,39618,35173,178,14,32,52,142,532,1369,533,12,1072,1,34,511,7871,212,312,1023,16017,202,4105,7,2,5,119,21,260
38,1412,158,76865,5332,19,5,52,9871,713,9048,18464,1407,117,2,20,79848,11,39921,34979,246,10,20,63,142,569,1385,540,13,1009,4,52,462,7863,199,369,1008,16100,207,4147,5,0,4,113,20,285
39,1465,155,76892,5417,24,17,68,9617,677,9037,18268,1389,146,8,25,78677,20,39808,35023,218,15,37,55,165,504,1277,478,10,1040,2,44,511,7911,186,330,1158,15888,196,4101,6,2,2,102,18,273
40,1484,146,77181,5590,15,13,64,9555,645,8950,18590,1459,121,4,44,80180,15,39728,35403,233,10,38,51,177,524,1363,515,23,1022,0,60,487,7918,217,371,1015,16283,186,4105,8,0,4,126,32,327
41,1437,149,77071,5324,19,19,43,9677,633,8913,18326,1494,130,9,20,80266,11,39481,34811,219,19,34,54,168,554,1344,506,12,1086,2,40,570,7804,195,295,1067,16540,212,4090,6,5,0,92,24,242
42,1447,109,76174,5288,22,14,51,9469,659,8812,18471,1461,126,7,35,79848,11,39653,34674,200,16,28,38,144,513,1366,523,10,1068,0,53,482,7854,227,360,1088,16095,194,4182,1,1,3,102,16,275
43,1494,130,77192,5440,16,9,50,9662,643,8995,18183,1324,109,8,20,79804,10,39551,35094,246,20,37,31,177,500,1362,496,10,1033,1,43,491,7692,224,370,1036,16030,176,4089,4,3,3,105,25,251
44,1452,138,76696,5471,35,6,66,9780,604,9006,18220,1446,131,3,15,79560,11,39784,35080,209,16,22,73,124,544,1367,502,17,978,0,44,479,7826,197,360,1095,15961,178,4070,11,0,7,119,34,289
45,1499,130,76510,5289,22,11,47,9893,676,8977,18393,1446,129,5,30,79320,15,39711,34953,239,23,32,70,161,553,1329,491,13,1050,0,40,515,7902,181,356,1004,16041,180,4039,3,2,4,108,26,248
46,1451,153,77236,5309,17,10,59,9493,685,9263,18417,1334,112,5,30,79643,12,39567,35392,201,22,28,55,154,632,1387,553,19,1040,0,35,509,7759,261,346,1134,16393,183,4053,4,0,0,120,9,291
47,1514,134,76798,5397,27,9,59,9925,672,9052,17951,1428,128,11,39,79603,12,39230,35443,239,21,28,78,172,515,1338,497,15,971,0,48,524,7762,203,360,1031,15824,181,4103,6,1,6,109,38,287
48,1456,151,76921,5406,15,6,50,9603,655,9157,18100,1461,146,7,32,79912,5,39318,34502,191,15,24,62,127,531,1299,530,16,978,3,48,456,7828,155,321,1094,15802,231,4214,7,1,1,100,24,295
49,1438,144,76984,5315,24,12,52,9763,675,9301,18314,1487,147,8,33,79236,16,39445,35288,253,19,42,55,115,557,1388,559,9,1046,5,37,505,7891,193,351,1183,16039,222,4044,9,0,0,107,31,251
50,1459,143,76972,5278,19,6,45,9520,717,8952,18196,1486,124,6,21,79208,15,39645,35433,202,18,41,44,180,517,1362,522,21,1079,2,50,484,7902,208,359,1107,16153,164,4097,4,0,7,115,19,264
51,1492,157,76829,5373,19,7,54,9502,688,8937,18420,1437,136,2,38,79875,19,39585,34875,229,20,33,53,130,533,1384,533,18,1019,1,52,493,7791,203,332,1085,16184,212,4151,1,0,2,114,31,266
52,1479,112,77092,5237,23,9,64,9647,679,8938,18397,1398,114,7,27,79232,5,39679,35226,218,12,40,64,185,564,1363,548,9,1004,1,36,516,7791,198,329,992,16076,213,4114,6,0,1,107,23,278
53,1429,153,76942,5393,14,6,42,9882,666,9137,18220,1470,130,11,31,80147,13,39803,35137,198,17,43,64,140,535,1418,523,24,1079,12,48,516,7887,206,364,1061,16270,204,4101,11,0,3,120,37,312
54,1462,117,76688,5222,27,10,57,9645,686,9116,18482,1422,147,12,18,79040,6,40194,34831,209,10,35,65,147,606,1350,524,16,996,0,49,455,7708,202,337,1070,15929,193,4066,6,1,6,125,22,273
55,1573,147,77416,5413,15,14,76,9705,621,9178,18207,1472,121,11,22,78906,6,39844,35293,177,12,39,71,164,535,1379,506,24,1014,3,69,476,7865,205,329,1066,16286,239,4129,8,0,3,133,39,274
56,1519,131,77068,5409,20,10,60,9768,653,8982,18389,1493,92,5,32,79544,8,39950,35371,215,15,42,51,139,533,1296,492,21,1016,3,40,515,7874,218,361,1067,16235,161,4144,14,2,4,126,30,262
57,1558,132,76546,5391,29,7,46,9775,691,8818,17963,1461,114,7,23,80596,17,39556,35088,225,9,31,53,158,529,1452,499,19,1033,3,51,520,7620,195,360,1102,16438,189,4184,2,1,5,101,25,283
58,1520,120,77315,5385,14,9,48,9758,612,8957,18318,1423,127,4,36,80830,9,39654,35418,234,13,29,66,147,555,1342,540,21,1030,1,65,481,8039,183,347,1037,16104,210,4090,4,3,1,92,36,269
59,1432,142,77018,5329,27,4,45,9613,660,8991,18214,1453,114,3,26,80103,12,39418,34658,196,17,21,60,153,544,1340,508,11,995,4,51,516,8030,210,372,1090,16269,227,4046,3,3,0,124,22,298
60,1471,144,77216,5225,22,12,54,9640,682,9126,18251,1434,136,7,27,79736,10,39397,34962,234,10,42,58,162,487,1244,505,15,942,2,43,500,7928,219,297,1107,16184,183,4191,5,1,3,134,29,265
61,1512,129,77010,5452,5,5,66,9706,692,9051,18267,1458,139,11,18,79115,9,39927,34996,215,11,37,75,141,571,1273,455,9,1043,2,39,518,7795,211,361,1096,15732,220,4052,2,0,3,116,24,269
62,1480,132,77243,5501,27,8,72,9938,680,9149,18357,1464,138,5,32,79297,7,39878,35305,238,8,30,75,142,565,1296,484,21,967,1,49,485,7692,246,362,1103,16098,191,4079,5,0,6,134,34,265
63,1361,152,76895,5174,21,6,57,9695,705,9182,17892,1433,143,7,31,79678,5,39836,35139,207,20,25,64,144,572,1325,470,14,1019,6,34,545,7854,213,365,1091,16208,198,4168,6,0,3,126,28,261
64,1444,142,76735,5237,29,6,44,9832,633,8992,18333,1437,113,10,28,80457,8,39459,35053,226,20,32,62,157,580,1388,518,17,1000,7,51,485,8024,201,359,1058,16013,222,4088,7,7,6,124,17,294
65,1432,108,76620,5448,19,16,47,9772,655,8915,18345,1444,156,8,34,78939,9,39788,35425,226,16,26,49,141,550,1391,477,12,1124,1,41,522,7781,205,295,1029,16084,199,4201,5,0,1,123,33,276
66,1516,110,77108,5332,16,3,58,9763,681,9131,18106,1396,137,14,34,79501,5,39594,34899,223,21,19,47,166,600,1430,534,8,1004,5,40,503,7861,194,360,1077,15942,182,4174,1,3,3,124,36,249
67,1493,131,77024,5314,15,6,69,9722,645,9244,18603,1463,114,13,32,79665,24,39465,34952,237,17,34,50,113,573,1309,477,23,1009,7,42,510,7702,207,371,1200,16068,192,4134,5,0,0,111,26,238
68,1428,151,76641,5364,22,21,64,9577,608,8930,18592,1439,130,17,27,79617,14,39758,34737,229,14,22,59,126,520,1381,516,14,937,2,49,499,7831,205,345,1082,16060,190,4168,0,2,6,98,29,287
69,1444,145,76865,5452,29,11,54,9875,686,9042,18727,1462,141,2,36,79389,10,39440,35466,241,10,26,57,167,557,1377,477,10,1079,0,56,502,7668,177,323,1022,15803,191,4239,4,6,2,103,19,249
70,1432,140,76517,5417,17,14,49,9829,629,8919,18540,1470,137,11,30,80041,10,39873,35077,229,20,32,75,133,551,1377,508,25,1067,3,47,542,7711,230,310,1049,16267,206,4067,11,0,0,127,14,237
71,1455,131,77466,5390,17,15,50,9662,646,8974,18402,1456,145,16,34,79335,22,40008,35545,206,13,45,54,123,529,1249,548,11,1085,3,56,476,7996,226,355,1068,16035,196,4142,9,0,2,111,26,259
72,1476,123,76776,5278,19,5,41,9786,586,8966,18692,1498,143,4,19,80472,7,39888,34750,236,15,35,52,150,611,1338,505,15,997,0,47,470,7878,176,343,1036,16278,174,4108,4,2,2,123,21,322
73,1475,131,76806,5429,34,6,67,9675,637,9100,18389,1421,154,6,25,79922,18,39787,34916,227,17,23,60,195,542,1322,475,15,1061,1,53,473,7923,213,343,1113,15971,201,4237,8,2,1,100,24,249
74,1434,153,76543,5372,21,13,53,9681,680,8811,18348,1420,120,18,27,79922,14,39484,35098,202,14,37,67,145,546,1361,482,10,1066,1,64,500,7829,194,355,1047,16122,210,4075,4,4,0,105,15,282
75,1460,141,76772,5239,21,6,59,9666,651,8922,18388,1459,106,5,17,78981,21,39572,34999,211,14,25,65,129,560,1440,477,11,1106,1,54,477,7833,216,398,1063,15913,236,4290,6,0,1,79,31,240
76,1493,122,76627,5429,16,12,36,9559,664,9215,18244,1475,134,12,21,79378,15,39502,34520,235,25,40,54,132,574,1283,493,23,963,5,42,487,7900,175,381,1176,16005,193,4171,4,1,5,113,29,243
77,1589,130,76646,5486,24,9,47,9761,678,8814,18454,1430,135,7,22,79853,9,39862,35252,210,20,47,66,148,587,1363,514,17,1055,2,53,516,7907,215,380,1027,16010,160,4067,9,0,4,110,31,264
78,1464,137,76532,5367,18,10,54,9739,665,8966,18550,1426,114,15,22,79554,5,40081,35259,193,17,19,69,169,508,1276,481,9,1042,1,42,504,7932,181,354,1096,15955,184,4008,5,0,3,112,30,270
79,1522,145,76436,5364,23,9,51,9726,660,9042,18089,1356,152,12,18,79920,13,39845,35197,229,10,23,57,137,540,1356,503,24,1043,0,62,510,8003,220,331,1120,15903,188,4148,7,0,4,98,26,295
80,1449,158,76392,5260,15,15,47,9583,601,8994,18586,1411,138,11,31,79974,8,39700,34815,218,21,34,66,120,563,1245,553,22,1028,2,39,463,7695,188,336,1070,16061,221,4150,5,0,2,118,27,264
81,1423,127,76841,5355,20,6,55,9466,658,8897,17799,1474,122,10,21,79964,11,39764,35586,201,23,25,73,189,544,1398,529,20,1054,1,53,479,7681,227,328,1057,16194,250,4218,4,1,0,99,34,298
82,1402,148,76916,5225,11,12,59,9757,647,9067,18318,1515,141,5,16,79607,11,39234,35069,237,9,30,77,164,573,1413,534,14,1055,3,36,501,7842,207,314,1160,16160,185,4179,4,5,3,110,27,273
83,1448,139,76940,5375,11,6,56,9631,647,9158,18225,1400,121,11,15,79712,11,39460,34846,178,14,35,58,155,515,1273,471,10,1074,6,50,524,7515,192,374,1128,16151,236,4129,2,0,6,99,30,298
84,1471,130,76928,5415,19,11,70,9885,671,9063,18164,1379,115,8,28,79424,18,39558,34976,222,19,30,59,151,608,1401,510,23,1026,0,51,518,7907,210,333,1038,15995,197,4281,2,1,1,112,24,290
85,1440,122,76727,5188,19,13,41,9647,634,9079,18452,1374,140,10,23,80047,9,39255,34855,205,16,16,58,165,567,1393,486,9,1055,3,41,526,7992,196,358,1092,16277,173,4351,6,0,0,124,36,258
86,1431,164,76834,5190,20,22,44,9781,630,8981,18264,1547,142,7,20,80152,2,39562,34831,205,12,15,64,191,517,1371,533,21,990,5,49,515,7959,186,371,1094,16244,184,4145,11,1,2,129,40,249
87,1488,141,76626,5439,20,12,46,9642,658,8982,18487,1501,139,14,34,79797,15,39871,34727,190,12,32,61,157,567,1439,513,26,1075,0,54,507,8006,251,363,1080,16169,181,4079,4,1,4,99,35,249
88,1516,116,76630,5298,24,8,51,9824,636,9081,18362,1403,115,2,19,80334,8,39809,34876,231,14,28,52,153,549,1296,541,6,1100,7,45,484,7654,181,365,1039,15994,207,4252,7,0,2,122,31,268
89,1494,145,77149,5277,12,12,38,9747,590,8942,18419,1398,141,18,33,79681,13,39804,34928,234,25,28,64,137,469,1346,492,16,1028,10,31,436,7807,226,361,1046,16074,203,4007,1,0,5,107,30,255
90,1502,147,76771,5473,20,11,66,9647,576,9110,18296,1467,134,13,27,79722,11,39532,35328,217,13,39,61,126,576,1327,543,10,965,0,49,522,7750,211,337,1126,15972,163,4195,8,0,4,82,21,314
91,1481,146,76384,5300,13,8,62,9715,655,8948,18186,1400,125,4,27,79967,19,40084,34933,224,17,40,44,145,547,1370,525,17,1075,2,55,516,7704,224,320,1094,16018,219,4056,0,2,2,106,46,288
92,1403,118,76346,5327,20,5,49,9813,638,9194,18884,1326,151,14,22,80181,7,40076,35532,235,24,43,55,126,606,1362,481,24,1025,1,45,520,7737,220,361,1074,16319,192,3999,7,0,5,111,36,275
93,1461,165,77249,5553,11,5,62,9526,726,9147,18250,1478,157,7,29,80167,12,39436,35065,221,9,33,77,158,562,1417,526,11,998,0,37,458,7916,209,366,1068,16145,182,4212,5,0,4,118,30,245
94,1544,150,77023,5268,17,4,49,9783,695,8959,18544,1415,176,8,24,79928,11,39406,35255,231,19,37,68,153,556,1335,491,13,1108,2,49,538,7779,223,365,1106,15916,170,4011,8,0,0,100,37,277
95,1509,137,76073,5489,20,9,61,9902,658,8991,18264,1410,141,13,28,79604,13,39872,35494,205,11,24,73,146,591,1329,511,11,1019,4,57,548,7932,204,303,1045,15859,177,4141,5,1,4,108,41,260
96,1481,136,76421,5323,23,8,60,9642,641,9007,18360,1368,143,8,30,79897,12,40152,34960,229,17,22,52,163,588,1388,547,9,1045,2,43,493,7938,224,336,1138,16271,185,4055,4,3,5,96,28,283
97,1493,151,76935,5313,14,5,55,9521,652,9162,18317,1402,126,16,23,79821,14,39853,35279,214,11,29,47,149,500,1429,493,20,1034,5,68,494,7752,222,365,1012,15792,176,4223,2,0,0,92,38,277
98,1444,125,76908,5427,25,8,60,9755,650,9424,18286,1402,103,7,43,79552,13,39884,35146,210,13,35,59,141,535,1369,506,13,1083,2,51,494,7859,187,319,1114,16011,222,4305,7,0,4,118,18,246
99,1461,141,77267,5329,14,3,64,9524,614,8924,18512,1429,165,16,20,78894,11,39416,35022,233,26,26,70,171,513,1331,530,19,1103,4,45,472,8002,211,336,1065,16032,167,4207,8,0,3,89,27,268
100,1446,140,76550,5533,13,10,51,9602,619,8968,18319,1388,132,8,31,80286,13,39412,35474,222,22,40,42,153,564,1301,539,18,1025,6,59,477,7820,209,364,1082,16164,215,4091,6,0,3,99,29,254
101,1465,122,77200,5485,23,6,44,9851,715,9124,18449,1417,112,11,35,80156,6,39918,34717,221,18,19,53,141,560,1275,479,14,1119,4,57,486,8115,191,365,1122,16139,188,4088,4,4,0,103,35,279
102,1522,116,77146,5360,21,8,49,9832,710,8994,18144,1474,163,14,22,79996,15,40114,34709,219,18,35,64,203,561,1374,483,15,993,1,46,534,7824,249,329,1093,16189,168,4195,6,1,6,134,26,265
103,1456,131,76832,5432,21,11,46,9819,637,9184,18380,1443,136,15,41,80101,9,40131,35011,218,12,33,70,149,510,1248,503,13,1097,2,47,463,7873,218,329,1042,16243,223,4135,2,6,4,96,28,264
104,1445,151,76709,5417,24,4,44,9764,583,9094,18741,1369,145,6,22,80848,13,39773,35116,196,22,27,53,144,572,1399,517,20,1042,2,57,501,7781,195,350,1108,16025,181,4252,6,2,1,120,37,263
105,1562,146,77070,5373,10,11,60,9781,596,9159,18167,1379,120,16,22,79022,8,39873,35257,225,18,19,40,137,545,1313,519,7,1015,4,61,481,7683,231,347,1062,15965,207,4110,7,1,2,109,25,276
106,1442,139,76874,5462,14,10,44,9544,624,8905,18632,1463,131,8,28,80001,12,39881,35215,208,19,21,50,174,561,1409,541,15,1019,6,45,500,7802,216,379,1099,16221,167,4112,4,1,2,111,33,308
107,1435,119,76645,5457,11,15,61,9401,637,9048,18601,1415,131,5,25,79747,11,39375,34948,182,12,28,61,136,594,1381,490,17,1099,3,39,516,7707,217,351,1150,16302,165,4009,2,0,0,108,26,271
108,1527,148,76752,5357,20,5,59,9655,627,9098,18432,1455,113,3,29,79809,11,39666,35265,209,15,40,62,153,568,1427,469,17,1120,2,44,498,7979,185,352,1076,15897,211,4262,7,2,6,121,36,301
109,1539,161,76700,5177,22,5,62,9761,632,9140,18280,1403,132,11,28,79716,10,39657,34928,225,17,37,62,173,556,1415,461,10,1118,2,44,485,7967,189,316,1111,16045,216,4057,2,5,2,105,22,260
110,1479,116,76798,5152,21,16,65,9544,652,9246,18457,1410,149,3,28,80009,11,39685,35074,220,24,37,47,149,525,1281,485,15,1058,3,46,533,7723,201,329,999,16193,159,4143,4,1,5,86,24,252
111,1493,128,76567,5559,16,7,51,9821,628,8907,18427,1393,137,4,28,79983,3,39801,35171,242,9,41,75,135,574,1437,496,12,1071,1,40,461,7887,200,334,1131,16096,193,4114,1,0,1,116,34,293
112,1512,175,76735,5381,36,12,52,9733,701,8827,18304,1455,133,8,20,80447,15,39774,34825,228,13,24,52,164,540,1270,497,18,1011,1,48,482,8015,206,358,1005,15905,213,4081,7,0,5,87,38,273
113,1556,154,76834,5347,31,14,37,9815,674,9022,18432,1465,109,11,25,79454,11,39734,35132,204,20,29,61,131,544,1443,525,9,1034,5,41,496,7934,198,310,1078,16425,206,4159,3,0,3,102,30,280
114,1471,144,76987,5452,20,10,44,9726,671,8932,18272,1385,116,8,28,80213,15,39848,35113,223,12,30,56,155,552,1361,532,11,1014,0,55,511,7542,232,379,1138,16381,177,4166,9,1,1,127,23,284
115,1432,163,76943,5405,16,11,51,9569,673,8971,18261,1452,140,11,16,79902,15,39484,34954,219,20,40,55,146,558,1391,493,14,1006,0,47,462,7865,194,388,1012,16067,177,4285,3,0,4,86,32,274
116,1525,134,76894,5414,20,14,56,9675,638,9062,18354,1483,127,6,21,79305,15,39890,34997,203,21,28,66,128,569,1340,534,13,1033,0,35,492,7830,206,357,1143,16278,184,4193,9,0,2,96,28,297
117,1503,126,76593,5373,19,7,54,9773,671,9181,18621,1403,116,12,44,80443,22,39764,35587,255,18,28,48,157,586,1362,507,12,992,2,51,491,7947,182,341,1048,16278,199,4161,10,0,1,90,25,258
118,1488,133,77210,5278,23,8,48,9748,692,8927,18220,1435,136,9,22,79961,7,39558,34762,230,16,31,71,144,572,1414,552,11,1058,2,63,485,7855,217,362,1180,16333,209,3992,1,2,6,121,34,267
119,1421,144,76641,5606,22,6,68,9956,655,9014,18529,1471,131,5,33,79210,16,40369,35007,223,8,28,53,152,571,1364,473,11,1061,4,33,520,7902,206,313,1004,16203,212,3956,2,0,0,107,20,273
120,1442,156,77578,5387,12,7,59,9495,633,9167,18427,1406,127,6,28,79233,8,39436,35061,212,17,41,62,151,540,1357,441,6,1043,1,46,503,7840,189,350,1155,16148,189,4153,2,1,1,108,23,236
121,1429,124,77076,5430,24,8,53,9644,691,8897,17995,1475,113,10,22,80153,8,39822,35347,241,12,34,55,138,575,1431,499,10,1016,2,41,509,7841,220,350,1080,16248,209,4401,1,0,6,125,31,248
122,1453,159,76866,5515,28,9,47,9871,667,8890,18409,1443,134,7,27,79539,16,39667,34725,213,21,34,56,147,525,1433,499,23,1016,1,52,529,7870,194,346,1117,15995,203,4152,6,1,1,115,22,253
123,1512,133,76846,5383,17,5,47,9417,681,8714,18321,1351,135,6,28,80149,14,39642,35001,232,17,24,49,179,531,1374,514,15,1095,4,55,479,7847,242,370,1099,15874,182,4157,2,0,11,104,29,252
124,1458,123,76608,5322,27,9,56,9845,714,8988,18366,1377,142,9,20,80406,11,40037,34735,198,21,23,76,122,630,1365,486,19,1012,0,39,491,7818,227,321,1063,16077,217,4294,10,3,4,103,39,237
