seed,,5S-Deu-L2,Alu,CR1,Crypton,Crypton-A,Dong-R4,ERV1,ERVK,ERVL,ERVL-MaLR,Gypsy,Helitron,I-Jockey,Kolobok,L1,L1-Tx1,L2,MIR,MULE-MuDR,Merlin,PIF-Harbinger,Penelope,PiggyBac,RTE-BovB,RTE-X,SVA,TcMar,TcMar-Mariner,TcMar-Pogo,TcMar-Tc1,TcMar-Tc2,TcMar-Tigger,hAT,hAT-Ac,hAT-Blackjack,hAT-Charlie,hAT-Tag1,hAT-Tip100,hAT-Tip100?,hAT-hAT19,hAT?,tRNA,tRNA-Deu,tRNA-RTE
1,5250,507,292165,14780,75,34,146,31544,2119,30607,66974,4831,448,29,114,183847,36,109740,134585,728,50,121,220,548,1433,3378,1602,49,4054,5,165,1764,27451,781,1067,4101,59274,533,14674,17,4,8,430,109,1105
2,5209,522,293254,14856,71,43,190,31310,2178,30865,66541,4829,451,39,121,184423,43,109924,134792,705,69,115,179,602,1614,3299,1780,61,4088,13,195,1729,27453,801,983,4078,59148,588,15010,28,2,15,399,116,1083
3,5189,528,294052,14794,66,34,129,31849,2197,30569,66747,4760,453,39,102,185940,33,109161,134166,624,51,102,220,539,1454,3434,1607,42,3914,10,162,1757,27442,758,1016,4134,59523,624,14757,13,7,10,399,149,1029
4,5431,472,292824,14446,69,31,165,31507,2089,30061,66772,5054,479,28,99,185198,44,108913,134686,649,83,123,217,610,1487,3513,1827,72,3794,11,211,1807,27320,843,1071,3968,59776,578,15015,8,2,4,400,133,1016
5,5273,526,293483,14509,57,48,162,30992,2126,30798,65961,4658,464,22,99,185465,56,109214,134909,709,51,123,188,544,1439,3352,1705,47,3914,11,173,1730,27432,799,1053,4190,60086,540,14905,16,10,12,383,120,1071
6,5287,520,294343,14359,66,33,135,31554,2078,30686,67252,4814,492,27,95,184633,43,108817,134889,701,53,121,212,585,1416,3453,1674,57,3958,4,187,1858,28048,757,1052,4146,59300,573,14568,12,2,15,392,96,997
7,5497,490,293445,14578,68,38,108,31144,2054,30514,67074,4799,501,20,111,186000,47,108627,134250,655,50,114,230,556,1484,3370,1670,51,3983,18,177,1753,27372,745,1092,4153,58925,539,15054,15,4,10,421,108,1089
8,5241,490,292844,14646,66,55,127,31194,2115,30772,66358,4982,511,36,89,185042,52,109687,133443,608,63,95,217,573,1387,3337,1713,42,3909,5,191,1780,27842,758,1097,3911,59009,517,14771,15,5,5,401,87,1061
9,5415,470,293586,14640,68,40,134,31607,2125,30205,67512,4796,484,39,93,184583,47,109539,134251,615,65,117,219,523,1549,3432,1693,72,4071,11,164,1798,27075,749,1107,4209,59123,486,14676,6,5,16,396,120,958
10,5342,509,293567,14164,61,19,159,31566,2176,30757,65787,4809,496,26,88,185758,36,109205,134398,660,49,107,203,573,1458,3317,1714,36,3982,12,190,1778,27177,793,989,4066,58965,508,14924,12,4,8,392,111,1034
11,5337,524,293656,14352,79,43,130,31314,2006,30653,66585,5035,461,42,108,185756,44,109353,134235,612,63,100,198,566,1422,3214,1597,58,4042,8,194,1790,27382,745,1042,4078,59223,559,14581,24,6,9,401,138,1077
12,5301,489,293333,14592,75,33,152,31454,2210,30749,67049,4869,473,39,97,184553,38,109379,135214,750,49,95,226,585,1556,3458,1682,46,4208,8,172,1737,27778,775,1048,4044,59545,618,14667,14,12,16,439,132,1093
13,5329,521,292856,14657,72,50,153,31768,2154,30168,66638,4843,475,34,121,186048,34,108836,133862,646,72,123,212,559,1513,3298,1638,49,3939,12,129,1879,27662,751,1061,4240,59836,530,14890,22,1,9,385,117,1046
14,5403,521,292759,14724,84,37,151,31593,2019,30726,67027,4947,455,22,96,184974,29,109493,135146,656,40,107,207,587,1414,3338,1704,56,4101,8,202,1776,28161,721,1074,4041,58741,524,14922,10,6,15,442,128,1058
15,5406,529,293312,14528,69,32,131,31469,2068,30399,66586,4835,493,34,68,185691,44,108893,134903,669,69,124,193,581,1449,3481,1638,52,3936,9,189,1947,27641,721,1063,4139,59784,517,14748,22,6,11,482,118,1160
16,5288,541,293526,14268,94,44,163,31621,2194,30984,66740,4703,419,29,104,185476,38,109239,134220,642,56,101,206,591,1437,3384,1766,57,4105,16,163,1778,27345,696,945,4115,58622,551,14751,26,2,7,395,112,1032
17,5288,499,293021,14355,69,48,137,31425,2097,30572,65930,4922,468,47,122,184689,43,109214,135959,685,51,124,228,540,1513,3306,1678,68,3880,16,167,1697,27503,752,1130,4127,58841,571,14458,22,9,8,406,107,1091
18,5127,506,293488,14552,65,32,142,31551,2146,30877,66173,4771,516,22,95,186103,39,108642,134386,783,80,84,170,518,1516,3208,1696,46,3934,7,196,1799,27886,784,1105,4211,59358,585,14794,6,5,14,413,106,1079
19,5383,479,292669,14205,76,44,139,31572,2085,30266,67284,4807,513,38,102,185724,36,109589,134337,703,67,132,197,622,1437,3371,1769,65,3958,3,187,1802,27667,798,1050,4060,58702,495,14627,17,3,3,406,125,1049
20,5211,446,294877,14555,72,34,123,31445,2140,30394,66856,4848,498,24,95,184723,53,108454,134254,724,65,111,185,575,1476,3426,1748,58,3757,20,179,1794,27864,713,978,4024,58996,493,14529,9,9,6,352,148,1045
21,5484,512,294032,14468,82,31,167,31641,2083,30814,66654,4827,452,26,104,186246,42,109815,134796,690,53,80,189,583,1475,3333,1659,75,3940,13,181,1769,27525,808,1041,4205,59089,505,15190,14,3,12,385,108,1085
22,5406,536,294114,14253,85,39,135,31010,2131,30972,66699,4950,488,36,101,185745,52,108855,135064,646,67,87,229,504,1437,3411,1604,67,4104,10,218,1807,27633,821,1025,4100,59653,555,14842,19,5,6,366,98,1023
23,5384,517,294315,14525,91,63,152,31520,2089,30857,66696,4723,480,45,103,183885,39,108838,135193,641,66,110,228,554,1536,3314,1659,57,3840,7,155,1790,27680,792,1033,4272,59380,546,14914,17,1,12,387,123,1089
24,5153,461,292336,14435,66,29,168,31194,2195,30960,67082,4821,449,42,92,185535,32,109202,134967,649,72,102,212,555,1545,3401,1607,63,3852,7,184,1787,27756,790,1103,4177,59597,480,14360,11,4,5,414,123,1071
25,5448,521,292961,14510,68,38,143,31769,2127,30596,66782,4907,478,53,106,185948,44,109247,135367,668,55,104,196,534,1436,3344,1611,49,3957,4,201,1727,27165,760,1094,4028,59477,578,14735,15,6,10,342,129,1055
