test,null_mean_l1_divergence
T1_divergence_unmatched,187.64
T1_divergence_unmatched,174.745
T1_divergence_unmatched,175.28
T1_divergence_unmatched,209.059
T1_divergence_unmatched,155.2
T1_divergence_unmatched,183.634
T1_divergence_unmatched,154.806
T1_divergence_unmatched,146.556
T1_divergence_unmatched,216.444
T1_divergence_unmatched,153.911
T1_divergence_unmatched,187.0
T1_divergence_unmatched,292.333
T1_divergence_unmatched,185.026
T1_divergence_unmatched,192.836
T1_divergence_unmatched,189.08
T1_divergence_unmatched,211.632
T1_divergence_unmatched,200.875
T1_divergence_unmatched,148.0
T1_divergence_unmatched,248.6
T1_divergence_unmatched,162.629
T1_divergence_unmatched,183.905
T1_divergence_unmatched,209.343
T1_divergence_unmatched,200.983
T1_divergence_unmatched,172.14
T1_divergence_unmatched,14.0
T1_divergence_unmatched,195.972
T1_divergence_unmatched,210.211
T1_divergence_unmatched,200.6
T1_divergence_unmatched,159.677
T1_divergence_unmatched,143.778
T1_divergence_unmatched,175.6
T1_divergence_unmatched,162.522
T1_divergence_unmatched,178.156
T1_divergence_unmatched,183.0
T1_divergence_unmatched,191.429
T1_divergence_unmatched,178.435
T1_divergence_unmatched,176.429
T1_divergence_unmatched,196.915
T1_divergence_unmatched,162.882
T1_divergence_unmatched,195.956
T1_divergence_unmatched,195.059
T1_divergence_unmatched,176.767
T1_divergence_unmatched,169.946
T1_divergence_unmatched,193.058
T1_divergence_unmatched,194.923
T1_divergence_unmatched,176.879
T1_divergence_unmatched,218.441
T1_divergence_unmatched,243.737
T1_divergence_unmatched,200.873
T1_divergence_unmatched,179.951
T1_divergence_unmatched,208.583
T1_divergence_unmatched,194.593
T1_divergence_unmatched,169.061
T1_divergence_unmatched,196.143
T1_divergence_unmatched,183.903
T1_divergence_unmatched,167.447
T1_divergence_unmatched,187.372
T1_divergence_unmatched,203.962
T1_divergence_unmatched,154.73
T1_divergence_unmatched,140.184
T1_divergence_unmatched,204.196
T1_divergence_unmatched,198.617
T1_divergence_unmatched,198.183
T1_divergence_unmatched,210.758
T1_divergence_unmatched,177.8
T1_divergence_unmatched,216.667
T1_divergence_unmatched,187.365
T1_divergence_unmatched,203.062
T1_divergence_unmatched,182.278
T1_divergence_unmatched,206.667
T1_divergence_unmatched,174.25
T1_divergence_unmatched,172.333
T1_divergence_unmatched,207.558
T1_divergence_unmatched,207.24
T1_divergence_unmatched,211.509
T1_divergence_unmatched,184.1
T1_divergence_unmatched,203.292
T1_divergence_unmatched,199.312
T1_divergence_unmatched,187.138
T1_divergence_unmatched,217.458
T1_divergence_unmatched,171.312
T1_divergence_unmatched,208.022
T1_divergence_unmatched,180.327
T1_divergence_unmatched,231.647
T1_divergence_unmatched,212.68
T1_divergence_unmatched,169.227
T1_divergence_unmatched,193.523
T1_divergence_unmatched,212.308
T1_divergence_unmatched,214.037
T1_divergence_unmatched,180.472
T1_divergence_unmatched,194.463
T1_divergence_unmatched,203.69
T1_divergence_unmatched,202.7
T1_divergence_unmatched,182.0
T1_divergence_unmatched,207.738
T1_divergence_unmatched,177.946
T1_divergence_unmatched,190.104
T1_divergence_unmatched,236.762
T1_divergence_unmatched,193.125
T1_divergence_unmatched,187.349
T1_divergence_unmatched,211.894
T1_divergence_unmatched,187.485
T1_divergence_unmatched,151.15
T1_divergence_unmatched,183.448
T1_divergence_unmatched,198.381
T1_divergence_unmatched,177.667
T1_divergence_unmatched,185.18
T1_divergence_unmatched,195.167
T1_divergence_unmatched,203.176
T1_divergence_unmatched,183.932
T1_divergence_unmatched,197.7
T1_divergence_unmatched,188.923
T1_divergence_unmatched,175.977
T1_divergence_unmatched,188.758
T1_divergence_unmatched,218.98
T1_divergence_unmatched,178.656
T1_divergence_unmatched,162.204
T1_divergence_unmatched,228.474
T1_divergence_unmatched,187.067
T1_divergence_unmatched,159.325
T1_divergence_unmatched,202.717
T1_divergence_unmatched,175.034
T1_divergence_unmatched,193.244
T1_divergence_unmatched,197.714
T1_divergence_unmatched,143.278
T1_divergence_unmatched,221.143
T1_divergence_unmatched,204.842
T1_divergence_unmatched,172.726
T1_divergence_unmatched,195.24
T1_divergence_unmatched,187.64
T1_divergence_unmatched,201.491
T1_divergence_unmatched,196.896
T1_divergence_unmatched,178.545
T1_divergence_unmatched,223.107
T1_divergence_unmatched,204.094
T1_divergence_unmatched,204.741
T1_divergence_unmatched,182.5
T1_divergence_unmatched,12.0
T1_divergence_unmatched,173.264
T1_divergence_unmatched,181.967
T1_divergence_unmatched,173.681
T1_divergence_unmatched,198.059
T1_divergence_unmatched,204.97
T1_divergence_unmatched,192.946
T1_divergence_unmatched,200.227
T1_divergence_unmatched,147.176
T1_divergence_unmatched,209.612
T1_divergence_unmatched,196.028
T1_divergence_unmatched,195.653
T1_divergence_unmatched,176.98
T1_divergence_unmatched,195.044
T1_divergence_unmatched,170.261
T1_divergence_unmatched,227.513
T1_divergence_unmatched,170.518
T1_divergence_unmatched,187.519
T1_divergence_unmatched,164.435
T1_divergence_unmatched,192.226
T1_divergence_unmatched,149.556
T1_divergence_unmatched,182.364
T1_divergence_unmatched,202.259
T1_divergence_unmatched,199.174
T1_divergence_unmatched,156.636
T1_divergence_unmatched,165.027
T1_divergence_unmatched,181.163
T1_divergence_unmatched,191.086
T1_divergence_unmatched,207.933
T1_divergence_unmatched,179.735
T1_divergence_unmatched,137.978
T1_divergence_unmatched,175.631
T1_divergence_unmatched,191.865
T1_divergence_unmatched,206.641
T1_divergence_unmatched,197.737
T1_divergence_unmatched,188.762
T1_divergence_unmatched,197.558
T1_divergence_unmatched,180.535
T1_divergence_unmatched,176.558
T1_divergence_unmatched,200.038
T1_divergence_unmatched,188.059
T1_divergence_unmatched,180.719
T1_divergence_unmatched,187.143
T1_divergence_unmatched,184.71
T1_divergence_unmatched,201.143
T1_divergence_unmatched,227.457
T1_divergence_unmatched,176.875
T1_divergence_unmatched,176.333
T1_divergence_unmatched,231.294
T1_divergence_unmatched,197.294
T1_divergence_unmatched,121.5
T1_divergence_unmatched,156.407
T1_divergence_unmatched,199.714
T1_divergence_unmatched,140.588
T1_divergence_unmatched,186.692
T1_divergence_unmatched,185.788
T1_divergence_unmatched,219.054
T1_divergence_unmatched,192.268
T1_divergence_unmatched,188.261
T1_divergence_unmatched,192.442
T1_divergence_unmatched,173.923
T1_divergence_unmatched,235.27
T1_divergence_unmatched,180.768
T1_divergence_unmatched,170.143
T1_divergence_unmatched,173.571
T1_divergence_unmatched,202.118
T1_divergence_unmatched,161.424
T1_divergence_unmatched,183.268
T1_divergence_unmatched,187.509
T1_divergence_unmatched,204.742
T1_divergence_unmatched,196.719
T1_divergence_unmatched,166.138
T1_divergence_unmatched,197.0
T1_divergence_unmatched,196.316
T1_divergence_unmatched,183.167
T1_divergence_unmatched,176.282
T1_divergence_unmatched,162.433
T1_divergence_unmatched,201.286
T1_divergence_unmatched,196.912
T1_divergence_unmatched,206.25
T1_divergence_unmatched,213.786
T1_divergence_unmatched,206.639
T1_divergence_unmatched,203.163
T1_divergence_unmatched,140.762
T1_divergence_unmatched,178.04
T1_divergence_unmatched,187.236
T1_divergence_unmatched,190.912
T1_divergence_unmatched,222.48
T1_divergence_unmatched,190.5
T1_divergence_unmatched,240.474
T1_divergence_unmatched,197.208
T1_divergence_unmatched,186.42
T1_divergence_unmatched,172.188
T1_divergence_unmatched,192.673
T1_divergence_unmatched,197.083
T1_divergence_unmatched,198.353
T1_divergence_unmatched,204.343
T1_divergence_unmatched,180.176
T1_divergence_unmatched,186.308
T1_divergence_unmatched,169.355
T1_divergence_unmatched,179.115
T1_divergence_unmatched,187.395
T1_divergence_unmatched,201.567
T1_divergence_unmatched,172.655
T1_divergence_unmatched,200.518
T1_divergence_unmatched,209.0
T1_divergence_unmatched,155.297
T1_divergence_unmatched,193.118
T1_divergence_unmatched,192.104
T1_divergence_unmatched,184.81
T1_divergence_unmatched,187.0
T1_divergence_unmatched,186.647
T1_divergence_unmatched,178.545
T1_divergence_unmatched,164.113
T1_divergence_unmatched,169.244
T1_divergence_unmatched,161.556
T1_divergence_unmatched,217.191
T1_divergence_unmatched,215.441
T1_divergence_unmatched,198.0
T1_divergence_unmatched,162.244
T1_divergence_unmatched,190.093
T1_divergence_unmatched,226.32
T1_divergence_unmatched,213.756
T1_divergence_unmatched,198.065
T1_divergence_unmatched,193.592
T1_divergence_unmatched,166.54
T1_divergence_unmatched,208.61
T1_divergence_unmatched,186.61
T1_divergence_unmatched,205.462
T1_divergence_unmatched,188.556
T1_divergence_unmatched,189.88
T1_divergence_unmatched,210.133
T1_divergence_unmatched,217.629
T1_divergence_unmatched,176.109
T1_divergence_unmatched,199.167
T1_divergence_unmatched,189.357
T1_divergence_unmatched,175.8
T1_divergence_unmatched,179.951
T1_divergence_unmatched,186.486
T1_divergence_unmatched,187.237
T1_divergence_unmatched,187.0
T1_divergence_unmatched,185.4
