seed,class_name,n,mean_divergence,sd_divergence
1,DNA,32555,227.4185532176317,62.97176886188063
1,LINE,126276,228.07613481580032,84.8599988722372
1,LTR,39942,204.11256321666417,72.22995146359074
1,RC,132,271.32575757575756,36.00494414957421
1,Retroposon,465,170.4021505376344,98.04661824975862
1,SINE,112508,178.01734098908523,85.29468425288547
2,DNA,32626,228.12566664623307,62.85312984298871
2,LINE,126802,228.0659374457816,84.7774377604467
2,LTR,39647,204.57976643882262,72.3818957851788
2,RC,109,275.3119266055046,37.33525211400924
2,Retroposon,550,170.69636363636363,98.46825323863408
2,SINE,113111,178.21894422293147,85.46730770259938
3,DNA,32291,227.4393793936391,62.898287798201174
3,LINE,127382,227.55722943587006,85.02049863782771
3,LTR,39958,204.81287852244856,72.38701106315276
3,RC,122,263.6639344262295,49.201261255281395
3,Retroposon,488,172.547131147541,95.00356891466647
3,SINE,113030,178.22509068388922,85.34289208707989
4,DNA,32741,228.16193763171557,62.52136360247257
4,LINE,126700,227.5453906866614,84.76909879293879
4,LTR,40238,205.49299169938863,72.365901411873
4,RC,129,282.91472868217056,40.48715577891242
4,Retroposon,537,161.82122905027933,97.10658428416993
4,SINE,111209,177.2620741127067,85.18528673432931
5,DNA,32753,227.04292736543218,62.965601088277
5,LINE,126709,227.33239154282649,84.95864679197187
5,LTR,39736,205.2133329977854,72.11344372765575
5,RC,141,269.86524822695037,36.16593355301475
5,Retroposon,524,172.13167938931298,98.44084047158563
5,SINE,112318,177.2541088694599,85.05260220695492
6,DNA,32599,227.4821620295101,62.275137967704225
6,LINE,126840,227.4926994638915,84.98991626052201
6,LTR,40000,204.83435,72.18034538624417
6,RC,163,268.9877300613497,40.7284871484263
6,Retroposon,491,165.0773930753564,92.9300928491487
6,SINE,112937,177.88285504307711,85.38325700148471
7,DNA,32755,227.99364982445428,62.53449438686244
7,LINE,126704,227.476259628741,84.84188329984879
7,LTR,40259,204.50659479867855,72.602735705347
7,RC,134,276.3059701492537,37.610975615442065
7,Retroposon,532,166.45676691729324,93.12260498650147
7,SINE,113212,177.5484312617037,85.26840790839671
8,DNA,32294,227.55895832043103,62.77153987259886
8,LINE,127318,227.93147080538495,84.91157590610096
8,LTR,39595,205.62833691122617,72.12201371201539
8,RC,141,265.78014184397165,51.4430198035137
8,Retroposon,566,173.87985865724383,94.43720061153856
8,SINE,112187,177.20753741520855,85.255731791138
9,DNA,32940,227.51748633879782,62.85465711709431
9,LINE,126740,228.0767792330756,84.89178771494815
9,LTR,40551,205.26588740105052,72.42483170666294
9,RC,124,266.7983870967742,47.46288530282911
9,Retroposon,508,162.79921259842519,98.58482417915607
9,SINE,112938,177.579016805681,85.24048664479878
10,DNA,32497,227.97775179247316,62.60712170588677
10,LINE,127013,228.27726295733507,84.70596840491379
10,LTR,39413,205.12934818460914,72.75916638244824
10,RC,128,273.3515625,43.604327093862985
10,Retroposon,524,164.30152671755727,95.37237544314986
10,SINE,112047,177.97363606343765,85.4408139907098
11,DNA,32446,226.96458731430684,62.79553766766861
11,LINE,127414,227.41596684822704,85.00855351730195
11,LTR,40149,204.5406610376348,72.4738917796252
