class_name,class_label,observed_tes,total_tes,observed_or,fisher_p_raw,fisher_p_adjusted,random_or_mean,random_or_sd,n_permutations,or_observed_to_random,random_or_quantile_of_observed,empirical_p_raw_unclamped,empirical_p_raw,empirical_p_adjusted,fisher_p_raw_formatted,fisher_p_adjusted_formatted
LINE,LINE,169930,1005214,2.12680202851148,0.0,0.0,2.4255444178446317,0.009384728211337404,500,0.876834912964151,0.0,0.0,0.003992015968063872,0.003992015968063872,< 10^-200,< 10^-200
LTR,LTR,51103,531410,1.1119447497358184,6.305140730914831e-112,7.566168877097797e-112,1.6667481246535434,0.009895185136313198,500,0.6671342437940054,0.0,0.0,0.003992015968063872,0.003992015968063872,6.3 x 10^-112,7.6 x 10^-112
SINE,SINE,302480,1706485,2.252910674269425,0.0,0.0,1.534615914749547,0.0052791814200445685,500,1.468061586365801,1.0,0.0,0.003992015968063872,0.003992015968063872,< 10^-200,< 10^-200
DNA,DNA,57684,458177,1.5053547361321549,0.0,0.0,1.6051460401668096,0.009813357259648773,500,0.9378303895486767,0.0,0.0,0.003992015968063872,0.003992015968063872,< 10^-200,< 10^-200
Retroposon,SVA,1170,6274,2.3956524032152684,9.310337567003153e-133,1.396550635050473e-132,1.7506958992659638,0.09412519421347317,500,1.3684000769178266,1.0,0.0,0.003992015968063872,0.003992015968063872,9.3 x 10^-133,1.4 x 10^-132
RC,Helitrons,173,1869,1.0660259906185654,0.41266152618336444,0.41266152618336444,1.6137594996877738,0.1629313008338506,500,0.660585416119823,0.0,0.0,0.003992015968063872,0.003992015968063872,0.413,0.413
