level,window_a,window_b,n,spearman_rho,spearman_p,pearson_r,pearson_p,concordance_permutation_p,bland_altman_mean_diff,bland_altman_sd_diff,bland_altman_loa_lower,bland_altman_loa_upper
class_name,5kb,10kb,6,0.942857142857143,0.004804664723032055,0.9790327801055532,0.000654827615362703,0.008999100089991,0.130267787031958,0.11479785598904033,-0.09473601070656104,0.35527158477047704
class_name,5kb,20kb,6,0.942857142857143,0.004804664723032055,0.966373269074371,0.0016771237178757818,0.008099190080991902,0.2615080008936202,0.22950794775833128,-0.1883275767127091,0.7113435784999496
class_name,10kb,20kb,6,1.0,0.0,0.9953436672096938,3.2471674592629405e-05,0.0014998500149985001,0.1312402138616622,0.1205787533892419,-0.1050941427812519,0.3675745705045763
family_name,5kb,10kb,43,0.8905164602839021,1.3098139114402314e-15,0.8986660764139589,2.904673146894788e-16,9.999000099990002e-05,0.058413483160201556,0.13880812840974324,-0.21365044852289516,0.3304774148432983
family_name,5kb,20kb,43,0.8279975838115372,7.401321453890331e-12,0.7722443380101943,1.3225127354735507e-09,9.999000099990002e-05,0.08384663388908424,0.24118814341483732,-0.3888821272039969,0.5565753949821654
family_name,10kb,20kb,44,0.9412262156448201,2.0664740363585964e-21,0.9339859725187262,2.2071782161044786e-20,9.999000099990002e-05,0.026991371412083177,0.14050047599424836,-0.2483895615366436,0.30237230436081
