,class_name,individual_name
10555,LINE,CR1-3_Croc
10589,LTR,MER57B2
10673,LTR,LTR85b
10714,LTR,LTR9
10755,LTR,LTR2
10801,DNA,Charlie30b
11009,LTR,MER57C1
11032,LTR,MER21-int
11265,DNA,Tigger4
11397,DNA,MER97b
11455,DNA,ORSL-2a
11586,DNA,Kanga1d
11646,LTR,LTR83
11681,LTR,LTR1D1
11701,LTR,LTR51
11741,LTR,HUERS-P1-int
11820,DNA,Kanga1c
12070,DNA,Zaphod5a
12283,DNA,Tigger12c
12344,DNA,MER106A
12490,SINE,AluYk11
12529,LTR,LTR84a
12535,LTR,LTR5
12750,DNA,X22_DNA
12751,DNA,UCON29
12785,DNA,Charlie13a
12963,DNA,UCON26
13028,DNA,UCON105
13045,DNA,X6b_DNA
13072,DNA,Cheshire
13094,DNA,UCON81
13253,DNA,UCON73
13622,DNA,EutTc1-N2
13704,LINE,L2-2_Mam
13767,DNA,X5a_DNA
13837,DNA,Charlie13b
13986,LTR,LTR105_Mam
14130,LTR,LTR43B
14259,LTR,MSTB2
14336,LTR,LTR103_Mam
14388,LTR,MamGypLTR4
14402,LTR,LTR47B2
14566,DNA,X1_DNA
14817,DNA,X33a_DNA
14842,DNA,Tigger22N1
14999,DNA,HSMAR1
15260,LTR,MLT1J-int
15291,LTR,LTR75B
15620,LTR,LTR1C1
15685,LTR,MER67B
15831,DNA,UCON34
15905,SINE,AluYd8
15934,DNA,Eutr11
16065,LTR,MLT2E
16202,DNA,HSMAR2
16232,DNA,Tigger8
16289,LTR,PRIMA41-int
16296,LTR,LTR43-int
16297,LTR,LTR22B1
16314,LTR,MER89-int
16319,DNA,Zaphod4a
16338,LTR,MER70C
16366,LTR,LTR102_Mam
16392,LTR,LTR10F
16415,DNA,MER6
16475,DNA,Tigger6a
16478,LTR,PRIMA4-int
16479,LTR,HERVK-int
16490,LINE,L1PB
16491,LINE,L1M1
16496,LTR,MER41G
16531,LTR,LTR44
16555,LTR,MER34-int
16558,LTR,MER57A-int
16559,LTR,LTR45B
16636,LTR,LTR45
16647,LTR,MER101-int
16710,LTR,PRIMAX-int
16717,LTR,LTR1C3
16747,LINE,L1M3f
16758,LTR,LTR57
16862,LTR,HERVE-int
16908,LTR,HERV3-int
17118,LTR,MER4B-int
17164,LTR,ERV24B_Prim-int
17209,LTR,LTR12F
17228,LTR,HERV9NC-int
17253,LTR,LOR1b
17320,LTR,LTR88a
17558,LINE,X15_LINE
17566,DNA,MER6B
17568,LTR,LTR10B
17582,LTR,MamRep605b
17791,DNA,UCON58
17866,DNA,MamTip1b
17916,DNA,MER6C
17967,DNA,Ricksha
17974,LTR,LTR22A
18022,DNA,Tigger18a
18085,DNA,Ricksha_a
18128,DNA,MER125
18137,DNA,Charlie31a
18212,DNA,UCON35
18215,LTR,LTR86B1
18258,LTR,MamGypLTR1c
18278,LTR,LTR82B
18285,LTR,LTR88b
18385,RC,Helitron2Na_Mam
18435,LTR,LTR55
18500,DNA,X34_DNA
18552,LINE,L1HS
18572,DNA,MER6A
18592,DNA,Charlie17b
18788,LTR,LTR9A1
18867,DNA,Tigger12A
18877,LTR,LTR53-int
18928,DNA,MamTip3
18946,LINE,X6A_LINE
19098,DNA,MER135
19202,LTR,LTR32
19272,DNA,Tigger2b_Pri
19316,LINE,CR1-1_Amn
19320,LINE,X1_LINE
19406,LTR,LTR16B
19447,DNA,MER127
19808,LTR,LTR10D
20040,LTR,PRIMA4_LTR
20107,LTR,MER57E2
20131,LTR,MamGypLTR2b
20631,DNA,UCON78
20799,DNA,EUTREP2
20892,LTR,MER57F
20961,DNA,DNA1_Mam
21015,LTR,LTR12_v
21396,LTR,MER90
21502,LTR,MER129
21949,DNA,MERX
21959,LTR,LTR34
21962,LTR,MER9a2
22114,LTR,LTR23-int
22369,LTR,EUTREP16
22765,DNA,X9b_DNA
22768,LTR,ERV24_Prim-int
22777,LTR,LTR4
22778,LTR,LTR39-int
22782,LTR,MER87
22799,LTR,LTR49
22801,LTR,MER51D
22894,LTR,MLT1F-int
22961,DNA,X4b_DNA
23947,LTR,LTR25
24154,LTR,LTR54B
24158,LINE,L2-1_Crp
24182,LTR,LTR76
24270,LTR,PABL_B
24490,LTR,LTR15
24606,LTR,LTR38B
24675,LTR,HERV-Fc2_LTR
24739,LTR,LTR26B
24840,LTR,LTR25-int
24851,LTR,MER61-int
25264,LTR,LTR81A
25274,DNA,UCON44
25355,DNA,UCON89
25377,DNA,Kanga1
25607,LINE,UCON86
25686,RC,Helitron1Na_Mam
25691,RC,Helitron1Nb_Mam
26188,LTR,Eutr18
26245,DNA,X11_DNA
26395,DNA,Chap1_Mam
26406,DNA,X23_DNA
26436,DNA,UCON11
26798,LTR,LTR1F1
27018,LINE,X8_LINE
27746,LTR,LTR65
27987,DNA,MER30B
28139,LTR,HUERS-P3-int
28236,DNA,Eutr2B
28498,LTR,HERV35I-int
28609,LTR,MER9a3
28629,LTR,LTR37-int
28632,LTR,MER92-int
28902,LTR,LTR28B
29210,DNA,Charlie14a
29277,DNA,MamRep1894
29398,LTR,LTR14
29448,LTR,MER66A
29489,LTR,MamGyp-int
29545,LINE,L1PBa
29546,LINE,L1M2a
29657,DNA,Charlie9
29675,LTR,LTR26D
29772,LTR,HERVE_a-int
29912,LTR,LTR107_Mam
30191,LINE,MamRTE2
30274,DNA,UCON21
30294,DNA,Tigger20a
30560,LINE,L1P5
31076,DNA,X32_DNA
31233,LTR,MER73
31305,LTR,LTR06
31360,LTR,LTR48
31488,DNA,X2a_DNA
31884,DNA,hAT-N1_Mam
32196,LTR,PABL_A
32231,LTR,LTR28C
32335,LTR,MER57-int
32864,LTR,MER4D0
33108,DNA,Charlie10a
33157,LTR,LTR47A2
33371,DNA,UCON38
33386,DNA,Arthur2
33789,DNA,Tigger21a
33842,LTR,Eutr5
34242,DNA,X4a_DNA
35126,LTR,PABL_B-int
35349,DNA,UCON4
35499,DNA,hAT-5_Mam
35974,LTR,MER66D
36065,DNA,Charlie3
36099,LTR,LTR87
37104,LTR,LTR1
37182,LTR,MamGypLTR1d
37221,LTR,HERV1_LTRd
37437,DNA,Tigger3
37573,LTR,LTR80B
37913,DNA,Eutr16
38373,LTR,MER57E1
38571,DNA,UCON33
38597,LTR,MER41C
38602,LTR,LTR1E
38790,LTR,EUTREP7
39051,DNA,UCON37
39232,LINE,L1MEg2
39742,DNA,Looper
39822,LTR,LTR22B2
39875,DNA,Eulor12
39987,LTR,LTR6A
40545,LTR,MamGypLTR3
41061,DNA,X12_DNA
41207,DNA,X2b_DNA
41254,LTR,MER51C
41450,LTR,LTR35A
41629,LTR,MER4CL34
42202,LTR,MER51-int
42517,DNA,MER97c
42776,LTR,MER41-int
42880,LTR,MamGypsy2-LTR
43281,LTR,MER34D
43987,LTR,MER65C
43995,DNA,MamTip3B
44378,DNA,UCON55
45691,LTR,MER57C2
46878,LTR,LTR35
47066,LTR,MER50B
47940,LTR,LTR1D
48763,LTR,LTR91A
49039,LINE,L1MDb
49183,DNA,UCON7
49475,LTR,LTR31
49482,DNA,Tigger17d
49484,LTR,LTR1F2
49582,LINE,L1M3c
49731,LTR,HERVK22-int
50053,LTR,LTR17
50159,LTR,MER83B
50163,LTR,PrimLTR79
50440,LTR,LTR14B
50604,LTR,MLT1H-int
50612,LTR,LTR27
51032,LTR,MER74C
52373,LINE,L1PBa1
52505,DNA,MER99
52966,LTR,LTR88c
54025,LINE,L1M3e
54701,LTR,LTR6B
55049,LTR,LTR38A1
55071,LTR,EUTREP15
55102,LTR,LTR89
55152,LINE,L1P
55270,LTR,HERVS71-int
55571,LTR,HERVK11-int
57095,LTR,LTR90A
57149,LTR,THE1-int
57185,LINE,L1M6B
57435,LTR,MLT1-int
57601,LTR,LTR86B2
57897,DNA,MER97d
57989,LTR,LTR69
58075,LTR,THE1D-int
58345,LTR,LTR72B
58748,LTR,HERVFH19-int
59244,DNA,Tigger6b
59575,LTR,LTR80A
60267,LINE,L1MEg1
61051,LTR,LTR19-int
61170,LTR,LTR2752
61412,DNA,hAT-4b_Ther
61826,DNA,Zaphod5b
62159,DNA,X24_DNA
63106,DNA,Eulor2B
63541,LINE,CR1-L3A_Croc
63879,DNA,Eulor3
64302,DNA,UCON14
65110,LTR,LTR1B0
65554,LTR,LTR43
66257,DNA,UCON40
67600,LTR,MER70-int
67944,LINE,L1M3d
69314,LINE,L1MEa
69441,LINE,L1M3de
69568,DNA,Eulor9B
69569,DNA,Eulor9A
70686,LTR,HERV17-int
70818,RC,UCON99
71045,LINE,L1PBb
71597,DNA,EuthAT-N1
71678,LTR,MER68C
73068,LTR,LTR3B
73629,DNA,Ricksha_b
74045,LTR,MER76
74300,LINE,CR1-12_AMi
74449,DNA,MER97a
74941,LTR,LTR27B
75241,LTR,LTR47B4
75815,DNA,FordPrefect_a
75958,LTR,PABL_A-int
76404,LTR,LTR59
76525,LTR,HUERS-P3b-int
77239,DNA,Merlin1_HS
77967,LTR,LTR108a_Mam
78273,DNA,X10b_DNA
78714,DNA,Eutr2
78754,LINE,L1P4b
79253,DNA,UCON39
80551,LTR,MER61F
80567,LTR,HERV4_I
80721,LTR,LTR1A1
80736,LINE,L1M3a
80873,LTR,LTR12B
80875,LTR,HERV9N-int
80902,LTR,LTR60
81749,DNA,EUTREP4
82217,DNA,Eulor1
82510,LINE,L1M2b
82804,LINE,L1P4e
82863,LTR,LTR27E
83896,DNA,Tigger17
83928,LINE,L1P3b
84061,LINE,CR1-11_Crp
85254,LTR,LTR22C0
85935,LTR,LTR68
86097,LINE,CR1-L3B_Croc
93778,LTR,LTR28
94440,LINE,L1M2a1
95495,DNA,MER132
96011,LINE,X2_LINE
96120,DNA,UCON8
96250,LINE,MARE6
96725,DNA,Eulor6B
96980,LTR,MER68B
99847,DNA,MER123
100054,LTR,MER95
100864,LTR,MER57D
101586,DNA,Eulor6A
102283,DNA,Eulor5A
103279,LTR,MER61C
103841,LTR,HERVK14-int
105212,LTR,MER61E
105358,DNA,UCON69
105551,DNA,MER133A
107132,LTR,LTR18A
107572,LTR,LTR38-int
107911,LTR,MER72B
109497,LTR,LTR47B3
110087,DNA,Eulor9C
110251,LTR,HERVL18-int
110901,LINE,L1M3b
111369,LTR,LTR1B
111849,LTR,LTR9C
112197,DNA,UCON80
112661,LTR,LTR52-int
112920,DNA,MARE10
114017,LTR,MER67D
114396,LTR,MER92D
114483,LTR,MER50-int
114982,DNA,Tigger6
115129,LTR,MER83C
115810,LINE,L1P4a
115957,LINE,L1P4d
117317,LTR,MER101B
117341,DNA,Eulor6D
117405,LTR,MER110-int
117751,LTR,HERVL66-int
117752,LTR,HERVL32-int
117821,DNA,Tigger17c
117884,LTR,LTR58
118079,LINE,X7D_LINE
118117,DNA,Eulor8
118328,LTR,LTR22E
118466,LTR,LTR73
118768,LTR,MER68-int
120228,LINE,X13_LINE
121433,DNA,Eulor6C
122309,LTR,LTR35B
123439,LTR,LTR22B
125176,DNA,UCON2
125374,DNA,UCON15
125517,DNA,UCON9
125635,DNA,UCON9B
125771,LINE,CR1-13_AMi
125796,LTR,LTR27D
126289,DNA,UCON83
126710,DNA,Eulor2C
126762,DNA,UCON62
127118,DNA,Tigger1a_Mars
127519,DNA,Eulor11
127661,DNA,MER133B
