subfamily_name,subfamily_name,class_name,Observed_TEs_number,Total_TEs_number,Observed_Odds_Ratio,Enrichment_p_value,Enrichment_p_value_adjusted,Average_divergence_genes,Average_divergence_all,Observed_TEs_number_log,Total_TEs_number_log,Random_Odds_Ratio_Mean,Random_Odds_Ratio_SD,Random_Odds_Ratio_Quantile_Of_Observed,p_raw_empirical,p_raw_empirical_clamped,p_adjusted_empirical_bh
L1MD,L1MD,LINE,713,4878,1.789050281983634,6.722058072179641e-41,7.760921592425585e-40,216.01542776998596,227.01086510865107,2.8530895298518657,3.688241795977712,2.681222403460006,0.14813090577074162,1.0,0.0,0.003992015968063872,0.010707259953161602
AluYf1,AluYf1,SINE,244,1358,2.289034696814585,8.271818743646186e-27,6.951977076461464e-26,68.68032786885246,73.84167893961708,2.3873898263387296,3.132899769944483,1.5252073924435203,0.1805657037263483,0.0,0.0,0.003992015968063872,0.010707259953161602
MER39B,MER39B,LTR,146,1369,1.2475959778538228,0.012786848303943214,0.025155538057499302,137.76027397260273,172.99488677867058,2.164352855784437,3.13640344813399,1.6338884212338638,0.1861021203053588,0.99,0.020000000000000018,0.020000000000000018,0.04508875739644974
AluSq2,AluSq2,SINE,5106,29577,2.180625189915387,0.0,0.0,103.36917352134743,107.05169557426379,3.7080808104682315,4.470954121333649,1.5349492529802868,0.040590713209540136,0.0,0.0,0.003992015968063872,0.010707259953161602
AluSx1,AluSx1,SINE,10175,54030,2.4247801133951015,0.0,0.0,106.26800982800982,111.09181935961503,4.007534417897258,4.732634967539195,1.5335582160269199,0.028408764074638836,0.0,0.0,0.003992015968063872,0.010707259953161602
MLT1K,MLT1K,LTR,1315,13573,1.1211246035312872,0.00010553886300433872,0.00027923824169897953,270.53688212927756,277.8407131805791,3.1189257528257768,4.132675849092962,1.5998066099173447,0.05671835282577919,1.0,0.0,0.003992015968063872,0.010707259953161602
LTR9B,LTR9B,LTR,61,515,1.4041759524548925,0.015359127930641451,0.029505013823064166,122.52459016393442,123.7009708737864,1.7853298350107671,2.711807229041191,1.7226667248602394,0.30974883485677046,0.844,0.31200000000000006,0.31200000000000006,0.4291407942238268
MER5A,MER5A,DNA,4342,31115,1.6948963407731754,4.3489399586150965e-201,1.1835329458802514e-199,245.11768770152003,247.59029407038406,3.637689819118401,4.492969805320489,1.5168608767537537,0.03518414595775217,0.0,0.0,0.003992015968063872,0.010707259953161602
MER4E1,MER4E1,LTR,125,758,2.0637349861966454,7.723104073594683e-12,3.693517973271432e-11,95.44,99.47493403693932,2.0969100130080562,2.8796692056320534,1.672485496547788,0.24811886345311399,0.046,0.092,0.092,0.16379439252336464
AluSx4,AluSx4,SINE,1624,9561,2.1383487878431007,7.587748570089709e-145,1.806832628252612e-143,105.9045566502463,108.6362305198201,3.2105860249051563,3.9805033181933953,1.5349942624678883,0.06814730590979617,0.0,0.0,0.003992015968063872,0.010707259953161602
