GO Term Name,Functional Group,,,
daunorubicin metabolic process,Xenobiotic metabolism,,daunorubicin metabolic process,Match
"androstan-3-alpha,17-beta-diol dehydrogenase (NAD+) activity",Lipids metabolism,,"androstan-3-alpha,17-beta-diol dehydrogenase (NAD+) activity",Match
doxorubicin metabolic process,Xenobiotic metabolism,,doxorubicin metabolic process,Match
progesterone metabolic process,Lipids metabolism,,progesterone metabolic process,Match
"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",Other metabolism,,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",Match
aldose reductase (NADPH) activity,Carbohydrates metabolism,,aldose reductase (NADPH) activity,Match
estradiol 17-beta-dehydrogenase [NAD(P)+] activity,Lipids metabolism,,estradiol 17-beta-dehydrogenase [NAD(P)+] activity,Match
alcohol metabolic process,Xenobiotic metabolism,,alcohol metabolic process,Match
"5-alpha-androstane-3-beta,17-beta-diol dehydrogenase (NADP+) activity",Lipids metabolism,,"5-alpha-androstane-3-beta,17-beta-diol dehydrogenase (NADP+) activity",Match
hormone metabolic process,Signaling pathways,,hormone metabolic process,Match
prostaglandin metabolic process,Lipids metabolism,,prostaglandin metabolic process,Match
testosterone dehydrogenase (NADP+) activity,Lipids metabolism,,testosterone dehydrogenase (NADP+) activity,Match
indanol dehydrogenase activity,Xenobiotic metabolism,,indanol dehydrogenase activity,Match
"trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity",Xenobiotic metabolism,,"trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity",Match
alcohol dehydrogenase (NADP+) activity,Xenobiotic metabolism,,alcohol dehydrogenase (NADP+) activity,Match
transmembrane signaling receptor activity,Signaling pathways,,transmembrane signaling receptor activity,Match
protein serine/threonine phosphatase inhibitor activity,Signaling pathways,,protein serine/threonine phosphatase inhibitor activity,Match
folic acid transport,Central metabolism,,folic acid transport,Match
folic acid binding,Central metabolism,,folic acid binding,Match
sperm-egg recognition,Fertilization,,sperm-egg recognition,Match
fusion of sperm to egg plasma membrane involved in single fertilization,Fertilization,,fusion of sperm to egg plasma membrane involved in single fertilization,Match
oxaloacetate tautomerase activity,Central metabolism,,oxaloacetate tautomerase activity,Match
carbon-sulfur lyase activity,Sulfur metabolism,,carbon-sulfur lyase activity,Match
protein-arginine deiminase activity,Aminoacids metabolism,,protein-arginine deiminase activity,Match
cytoskeleton,Cytoskeleton,,cytoskeleton,Match
focal adhesion,Cell adhesion,,focal adhesion,Match
identical protein binding,Too general,,identical protein binding,Match
actin binding,Cytoskeleton,,actin binding,Match
cell surface,Too general,,cell surface,Match
negative regulation of vascular endothelial cell proliferation,Cell cycle/cell division,,negative regulation of vascular endothelial cell proliferation,Match
AP-1 adaptor complex binding,Exosomes and vesicles,,AP-1 adaptor complex binding,Match
A band,Cytoskeleton,,A band,Match
heart looping,Embryogenesis,,heart looping,Match
sensory perception of sound,Sensory system,,sensory perception of sound,Match
epithelial cell differentiation,Embryogenesis,,epithelial cell differentiation,Match
structural constituent of skin epidermis,Embryogenesis,,structural constituent of skin epidermis,Match
AP-2 adaptor complex binding,Exosomes and vesicles,,AP-2 adaptor complex binding,Match
dendritic spine maintenance,Nervous system,,dendritic spine maintenance,Match
monoatomic ion channel complex,Signaling pathways,,monoatomic ion channel complex,Match
benzoate-CoA ligase activity,Other metabolism,,benzoate-CoA ligase activity,Match
decanoate-CoA ligase activity,Other metabolism,,decanoate-CoA ligase activity,Match
fatty acid ligase activity,Lipids metabolism,,fatty acid ligase activity,Match
fatty-acyl-CoA synthase activity,Lipids metabolism,,fatty-acyl-CoA synthase activity,Match
RNA polymerase II general transcription initiation factor activity,Transcription and its regulation,,RNA polymerase II general transcription initiation factor activity,Match
RNA polymerase II preinitiation complex assembly,Transcription and its regulation,,RNA polymerase II preinitiation complex assembly,Match
transcription initiation at RNA polymerase II promoter,Transcription and its regulation,,transcription initiation at RNA polymerase II promoter,Match
recycling endosome membrane,Exosomes and vesicles,,recycling endosome membrane,Match
ER to Golgi transport vesicle membrane,Exosomes and vesicles,,ER to Golgi transport vesicle membrane,Match
negative regulation of intestinal cholesterol absorption,Lipids metabolism,,negative regulation of intestinal cholesterol absorption,Match
negative regulation of intestinal phytosterol absorption,Lipids metabolism,,negative regulation of intestinal phytosterol absorption,Match
N-formyl peptide receptor activity,Other immune processes,,N-formyl peptide receptor activity,Match
menaquinone catabolic process,Lipids metabolism,,menaquinone catabolic process,Match
phylloquinone catabolic process,Lipids metabolism,,phylloquinone catabolic process,Match
icosanoid metabolic process,Lipids metabolism,,icosanoid metabolic process,Match
20-aldehyde-leukotriene B4 20-monooxygenase activity,Signaling pathways,,20-aldehyde-leukotriene B4 20-monooxygenase activity,Match
20-hydroxy-leukotriene B4 omega oxidase activity,Signaling pathways,,20-hydroxy-leukotriene B4 omega oxidase activity,Match
carboxylic acid binding,Other metabolism,,carboxylic acid binding,Match
regulation of action potential,Nervous system,,regulation of action potential,Match
axonal transport of mitochondrion,Nervous system,,axonal transport of mitochondrion,Match
UTP diphosphatase activity,Other metabolism,,UTP diphosphatase activity,Match
nucleoside triphosphate diphosphatase activity,Other metabolism,,nucleoside triphosphate diphosphatase activity,Match
peptidyl-lysine N6-acetylation,Chromatin structure,,peptidyl-lysine N6-acetylation,Match
"L-lysine N-acetyltransferase activity, acting on acetyl phosphate as donor",Chromatin structure,,"L-lysine N-acetyltransferase activity, acting on acetyl phosphate as donor",Match
trace-amine receptor activity,Signaling pathways,,trace-amine receptor activity,Match
regulation of gene expression,Transcription and its regulation,,regulation of gene expression,Match
ubiquitin protein ligase activity,Protein ubiquitination and degradation,,ubiquitin protein ligase activity,Match
RNA polymerase I core binding,Transcription and its regulation,,RNA polymerase I core binding,Match
glucuronosyltransferase activity,Carbohydrates metabolism,,glucuronosyltransferase activity,Match
cellular response to glucocorticoid stimulus,Signaling pathways,,cellular response to glucocorticoid stimulus,Match
estrogen metabolic process,Lipids metabolism,,estrogen metabolic process,Match
flavonoid metabolic process,Other metabolism,,flavonoid metabolic process,Match
sterol metabolic process,Lipids metabolism,,sterol metabolic process,Match
enzyme inhibitor activity,Too general,,enzyme inhibitor activity,Match
UDP-glycosyltransferase activity,Carbohydrates metabolism,,UDP-glycosyltransferase activity,Match
RNA 7-methylguanosine cap binding,Transcription and its regulation,,RNA 7-methylguanosine cap binding,Match
vitamin D3 metabolic process,Lipids metabolism,,vitamin D3 metabolic process,Match
"regulation of translation at postsynapse, modulating synaptic transmission",Nervous system,,"regulation of translation at postsynapse, modulating synaptic transmission",Match
translation repressor complex,Ribosome biogenesis and translation itself,,translation repressor complex,Match
lauric acid metabolic process,Lipids metabolism,,lauric acid metabolic process,Match
arachidonate monooxygenase activity,Lipids metabolism,,arachidonate monooxygenase activity,Match
fibroblast growth factor receptor binding,Signaling pathways,,fibroblast growth factor receptor binding,Match
fibroblast growth factor receptor signaling pathway,Signaling pathways,,fibroblast growth factor receptor signaling pathway,Match
regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,Signaling pathways,,regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,Match
growth hormone receptor binding,Signaling pathways,,growth hormone receptor binding,Match
growth hormone receptor signaling pathway,Signaling pathways,,growth hormone receptor signaling pathway,Match
