GO Term Name,Functional Group,,,
phosphatidylethanolamine catabolic process,Lipids metabolism,,phosphatidylethanolamine catabolic process,Match
protein serine/threonine/tyrosine kinase activity,Signaling pathways,,protein serine/threonine/tyrosine kinase activity,Match
ATP-dependent DNA damage sensor activity,DNA repair,,ATP-dependent DNA damage sensor activity,Match
somatic recombination of immunoglobulin gene segments,Other immune processes,,somatic recombination of immunoglobulin gene segments,Match
ADP binding,Too general,,ADP binding,Match
neutral amino acid transport,Aminoacids metabolism,,neutral amino acid transport,Match
kinase activity,Signaling pathways,,kinase activity,Match
isomerase activity,Too general,,isomerase activity,Match
renal filtration,Other,,renal filtration,Match
protein ubiquitination,Protein ubiquitination and degradation,,protein ubiquitination,Match
catalytic activity,Too general,,catalytic activity,Match
regulation of RNA splicing,RNA splicing and processing,,regulation of RNA splicing,Match
spermatogenesis,Embryogenesis,,spermatogenesis,Match
chromatin organization,Chromatin structure,,chromatin organization,Match
anaphase-promoting complex-dependent catabolic process,Protein ubiquitination and degradation,,anaphase-promoting complex-dependent catabolic process,Match
anaphase-promoting complex,Protein ubiquitination and degradation,,anaphase-promoting complex,Match
formin-nucleated actin cable assembly,Cytoskeleton,,formin-nucleated actin cable assembly,Match
Golgi cis cisterna,Exosomes and vesicles,,Golgi cis cisterna,Match
cis-Golgi network,Exosomes and vesicles,,cis-Golgi network,Match
Golgi cisterna membrane,Exosomes and vesicles,,Golgi cisterna membrane,Match
Golgi organization,Exosomes and vesicles,,Golgi organization,Match
actin filament,Cytoskeleton,,actin filament,Match
negative regulation of microtubule depolymerization,Cytoskeleton,,negative regulation of microtubule depolymerization,Match
catalytic step 2 spliceosome,RNA splicing and processing,,catalytic step 2 spliceosome,Match
type III interferon-mediated signaling pathway,Other immune processes,,type III interferon-mediated signaling pathway,Match
detoxification of copper ion,Metals metabolism,,detoxification of copper ion,Match
negative regulation of growth,Embryogenesis,,negative regulation of growth,Match
cellular response to cadmium ion,Metals metabolism,,cellular response to cadmium ion,Match
cellular response to zinc ion,Metals metabolism,,cellular response to zinc ion,Match
cellular response to copper ion,Metals metabolism,,cellular response to copper ion,Match
intracellular zinc ion homeostasis,Metals metabolism,,intracellular zinc ion homeostasis,Match
chemokine-mediated signaling pathway,Other immune processes,,chemokine-mediated signaling pathway,Match
inflammatory response,Other immune processes,,inflammatory response,Match
Golgi apparatus,Exosomes and vesicles,,Golgi apparatus,Match
regulation of sperm capacitation,Fertilization,,regulation of sperm capacitation,Match
multi-pass transmembrane protein insertion into ER membrane,Exosomes and vesicles,,multi-pass transmembrane protein insertion into ER membrane,Match
multi-pass translocon complex,Exosomes and vesicles,,multi-pass translocon complex,Match
zinc chaperone activity,Metals metabolism,,zinc chaperone activity,Match
protein maturation,Protein folding,,protein maturation,Match
collagen type IV trimer,Extracellular matrix,,collagen type IV trimer,Match
protein phosphorylation,Signaling pathways,,protein phosphorylation,Match
MHC class I protein complex,Other immune processes,,MHC class I protein complex,Match
beta-2-microglobulin binding,Other immune processes,,beta-2-microglobulin binding,Match
antigen processing and presentation of endogenous peptide antigen via MHC class Ib,Other immune processes,,antigen processing and presentation of endogenous peptide antigen via MHC class Ib,Match
"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent",Other immune processes,,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent",Match
antigen processing and presentation of peptide antigen via MHC class I,Other immune processes,,antigen processing and presentation of peptide antigen via MHC class I,Match
antigen processing and presentation of exogenous peptide antigen via MHC class Ib,Other immune processes,,antigen processing and presentation of exogenous peptide antigen via MHC class Ib,Match
MHC class Ib protein complex,Other immune processes,,MHC class Ib protein complex,Match
regulation of natural killer cell mediated immunity,Other immune processes,,regulation of natural killer cell mediated immunity,Match
chromosome condensation,Cell cycle/cell division,,chromosome condensation,Match
positive regulation of T cell mediated cytotoxicity,Other immune processes,,positive regulation of T cell mediated cytotoxicity,Match
lumenal side of endoplasmic reticulum membrane,Exosomes and vesicles,,lumenal side of endoplasmic reticulum membrane,Match
peptide antigen binding,Other immune processes,,peptide antigen binding,Match
11-cis-retinol dehydrogenase (NADP+) activity,Sensory system,,11-cis-retinol dehydrogenase (NADP+) activity,Match
keratin filament,Cytoskeleton,,keratin filament,Match
bitter taste receptor activity,Sensory system,,bitter taste receptor activity,Match
detection of chemical stimulus involved in sensory perception of bitter taste,Sensory system,,detection of chemical stimulus involved in sensory perception of bitter taste,Match
sensory perception of taste,Sensory system,,sensory perception of taste,Match
cell differentiation,Embryogenesis,,cell differentiation,Match
carbonyl reductase (NADPH) activity,Other metabolism,,carbonyl reductase (NADPH) activity,Match
retinal metabolic process,Sensory system,,retinal metabolic process,Match
NLS-bearing protein import into nucleus,Other,,NLS-bearing protein import into nucleus,Match
ERBB signaling pathway,Signaling pathways,,ERBB signaling pathway,Match
lateral loop,Nervous system,,lateral loop,Match
U2-type spliceosomal complex,RNA splicing and processing,,U2-type spliceosomal complex,Match
protein-macromolecule adaptor activity,Protein folding,,protein-macromolecule adaptor activity,Match
nuclear export,Other,,nuclear export,Match
7-methylguanosine cap hypermethylation,Transcription and its regulation,,7-methylguanosine cap hypermethylation,Match
mitochondrial membrane,Mitochondrion,,mitochondrial membrane,Match
natural killer cell lectin-like receptor binding,Other immune processes,,natural killer cell lectin-like receptor binding,Match
response to interferon-alpha,Other immune processes,,response to interferon-alpha,Match
response to interferon-beta,Other immune processes,,response to interferon-beta,Match
nicotinic acid receptor activity,Signaling pathways,,nicotinic acid receptor activity,Match
(2E)-butenoyl-CoA hydratase activity,Lipids metabolism,,(2E)-butenoyl-CoA hydratase activity,Match
histone H3K4me3 reader activity,Chromatin structure,,histone H3K4me3 reader activity,Match
odorant binding,Sensory system,,odorant binding,Match
membrane,Too general,,membrane,Match
B cell activation involved in immune response,Other immune processes,,B cell activation involved in immune response,Match
natural killer cell activation involved in immune response,Other immune processes,,natural killer cell activation involved in immune response,Match
type I interferon receptor binding,Other immune processes,,type I interferon receptor binding,Match
coagulation,Cell adhesion,,coagulation,Match
T cell activation involved in immune response,Other immune processes,,T cell activation involved in immune response,Match
negative regulation of flagellated sperm motility,Fertilization,,negative regulation of flagellated sperm motility,Match
positive regulation of serine-type endopeptidase activity,Protein ubiquitination and degradation,,positive regulation of serine-type endopeptidase activity,Match
cytokine receptor binding,Other immune processes,,cytokine receptor binding,Match
response to exogenous dsRNA,Other immune processes,,response to exogenous dsRNA,Match
type I interferon-mediated signaling pathway,Other immune processes,,type I interferon-mediated signaling pathway,Match
humoral immune response,Other immune processes,,humoral immune response,Match
cellular response to virus,Other immune processes,,cellular response to virus,Match
defense response,Other immune processes,,defense response,Match
positive regulation of transcription by RNA polymerase II,Transcription and its regulation,,positive regulation of transcription by RNA polymerase II,Match
positive regulation of DNA-templated transcription,Transcription and its regulation,,positive regulation of DNA-templated transcription,Match
disruption of plasma membrane integrity in another organism,Other,,disruption of plasma membrane integrity in another organism,Match
female pregnancy,Embryogenesis,,female pregnancy,Match
chromatin,Chromatin structure,,chromatin,Match
DNA-binding transcription factor activity,Transcription and its regulation,,DNA-binding transcription factor activity,Match
defense response to bacterium,Other immune processes,,defense response to bacterium,Match
pore-forming activity,Other,,pore-forming activity,Match
gonadal mesoderm development,Embryogenesis,,gonadal mesoderm development,Match
"3',5'-cyclic-AMP phosphodiesterase activity",Signaling pathways,,"3',5'-cyclic-AMP phosphodiesterase activity",Match
"3',5'-cyclic-nucleotide phosphodiesterase activity",Signaling pathways,,"3',5'-cyclic-nucleotide phosphodiesterase activity",Match
"3',5'-cyclic-GMP phosphodiesterase activity",Signaling pathways,,"3',5'-cyclic-GMP phosphodiesterase activity",Match
absorption of visible light,Sensory system,,absorption of visible light,Match
detection of visible light,Sensory system,,detection of visible light,Match
cellular response to light stimulus,Sensory system,,cellular response to light stimulus,Match
photoreceptor activity,Sensory system,,photoreceptor activity,Match
G protein-coupled photoreceptor activity,Sensory system,,G protein-coupled photoreceptor activity,Match
photoreceptor disc membrane,Sensory system,,photoreceptor disc membrane,Match
immune response-inhibiting cell surface receptor signaling pathway,Other immune processes,,immune response-inhibiting cell surface receptor signaling pathway,Match
immune receptor activity,Other immune processes,,immune receptor activity,Match
intermediate filament,Cytoskeleton,,intermediate filament,Match
DNA helicase activity,DNA replication,,DNA helicase activity,Match
DNA translocase activity,DNA replication,,DNA translocase activity,Match
epoxygenase P450 pathway,Xenobiotic metabolism,,epoxygenase P450 pathway,Match
arachidonate epoxygenase activity,Lipids metabolism,,arachidonate epoxygenase activity,Match
