subfamily_name,subfamily_name,subfamily_name.1,class_name,Observed_TEs_number,Total_TEs_number,Observed_Odds_Ratio,Enrichment_p_value,Enrichment_p_value_adjusted,Average_divergence_genes,Average_divergence_all,Observed_TEs_number_log,Total_TEs_number_log,Random_Odds_Ratio_Mean,Random_Odds_Ratio_SD,Random_Odds_Ratio_Quantile_Of_Observed,p_raw_empirical,p_raw_empirical_clamped,p_adjusted_empirical_bh,Status,OR_Observed_to_Random,Enrichment_p_value_adjusted_log,avg_weight,total_weight,node_degree,gene_number
MamRep605,MamRep605,MamRep605,LTR,279,2655,1.2271718100814006,0.001553293408958,0.003550828732878,277.2043010752688,278.74651600753293,2.4456042032735974,3.424064525417488,1.6358345311220854,0.1386233319319502,1.0,0.0,0.0039920159680638,0.0107072599531616,Significant,0.7501808934425865,-2.4496702745189367,0.006332150713294873,3.2167325623537955,508.0,224.0
AluSz,AluSz,AluSz,SINE,8215,47649,2.17716499315771,0.0,0.0,115.22897139379184,120.72830489622028,3.914607567771081,4.678053790618855,1.5346010547118232,0.0297876790482539,0.0,0.0,0.0039920159680638,0.0107072599531616,Significant,1.4187172532385308,-inf,0.0073640916904907355,6.163744744940746,837.0,1436.0
Tigger5,Tigger5,Tigger5,DNA,41,557,0.8303891437662597,0.2927858198155089,0.3768628288841516,164.02439024390245,167.6355475763016,1.6127838567197357,2.745855195173729,1.9072313163606447,0.3288580321285132,1.0,0.0,0.0039920159680638,0.0107072599531616,Significant,0.43538984319468815,-0.4238166962107816,0.0048130437960851565,0.9722348468092017,202.0,26.0
MSTB1,MSTB1,MSTB1,LTR,252,3744,0.7541777155081862,8.094064414886118e-06,2.4029910717441124e-05,161.89285714285714,164.15785256410257,2.401400540781544,3.5733358400660675,1.5812678177243542,0.1093222681993999,1.0,0.0,0.0039920159680638,0.0107072599531616,Significant,0.476944959642285,-4.619247842803869,0.006430616057951399,3.4275183588880958,533.0,220.0
L1MC5a,L1MC5a,L1MC5a,LINE,2465,10149,3.352585388364161,0.0,0.0,236.958215010142,241.83899891614936,3.391816923613249,4.006423252507643,3.049607083274,0.1163612129855432,0.008,0.016,0.016,0.0370953346855984,Significant,1.099349947982443,-inf,0.007294257579222646,6.280355775710698,861.0,1436.0
L1ME3B,L1ME3B,L1ME3B,LINE,719,3761,2.4701190458471523,3.72139338297372e-87,6.076503766769946e-86,250.230876216968,254.73517681467692,2.8567288903828825,3.575303333422399,2.6893822975267057,0.1669625955330518,0.894,0.2119999999999999,0.2119999999999999,0.3171675392670156,Non-Significant,0.9184707760286817,-85.2163462285454,0.006415250158063915,4.4970903608028046,701.0,608.0
L1M4,L1M4,L1M4,LINE,1810,9286,2.5302215449206376,2.864796808544251e-226,7.986494517478242e-225,190.8900552486188,198.11931940555675,3.257678574869185,3.967828679330155,2.732307614590165,0.1092043402104827,0.976,0.048,0.048,0.0957486910994765,Non-Significant,0.9260383169924153,-224.0976438021353,0.007123837819917346,6.140748200768752,862.0,1425.0
HAL1M8,HAL1M8,HAL1M8,LINE,106,1117,1.095726702603871,0.3674911877855413,0.4606286780913245,218.82075471698116,229.8316920322292,2.0253058652647704,3.048053173115609,2.0708703928710945,0.2397854410497011,1.0,0.0,0.0039920159680638,0.0107072599531616,Significant,0.5291140896001388,-0.3366490269686211,0.0060266879605493165,1.8923800196124854,314.0,87.0
L1MA2,L1MA2,L1MA2,LINE,499,4542,1.289865729650186,1.9028142290500013e-07,6.733488123232669e-07,104.76753507014028,113.94826067811536,2.6981005456233897,3.6572471298837166,2.739866413267714,0.1573361069464914,1.0,0.0,0.0039920159680638,0.0107072599531616,Significant,0.47077686831885424,-6.17175990156614,0.006274632044672277,3.9530181881435342,630.0,416.0
L1PA6,L1PA6,L1PA6,LINE,461,4361,1.2353328190190145,2.826730158316896e-05,7.880372124283444e-05,63.3470715835141,64.18206833295116,2.663700925389648,3.639586086673426,2.621097900550049,0.1465462394782542,1.0,0.0,0.0039920159680638,0.0107072599531616,Significant,0.4713035780768717,-4.103453273918181,0.006165054246831024,3.785343307554249,614.0,394.0
L1PA5,L1PA5,L1PA5,LINE,948,9740,1.1268558124132515,0.0005682193293783,0.0013877664390587,46.050632911392405,48.210164271047226,2.976808337338066,3.988558956878616,2.565608811269228,0.103155332446182,1.0,0.0,0.0039920159680638,0.0107072599531616,Significant,0.439215755521118,-2.8576836194454294,0.006771129698535391,5.261167775761999,777.0,791.0
L1P4,L1P4,L1P4,LINE,349,3246,1.2589966290087038,7.746053016614851e-05,0.0002073475081496,147.487106017192,146.52094886013555,2.54282542695918,3.511348515490213,2.643067934568484,0.1806543697397926,1.0,0.0,0.0039920159680638,0.0107072599531616,Significant,0.4763391105246985,-3.6833011795108686,0.006576031786334001,3.5839373235520307,545.0,275.0
L1ME3D,L1ME3D,L1ME3D,LINE,317,1988,1.982579375426501,5.196333868645941e-25,4.153433295008609e-24,247.49842271293372,255.3807847082495,2.501059262217752,3.2984163800612945,2.675521926040896,0.2168048841383907,1.0,0.0,0.0039920159680638,0.0107072599531616,Significant,0.7410065887070577,-23.381592760001272,0.0061299213728405,3.199818956622741,522.0,256.0
L1PA8A,L1PA8A,L1PA8A,LINE,134,1634,0.9336004343541812,0.4831382136555238,0.572849562456705,93.22388059701493,94.24602203182374,2.127104798364808,3.2132520521963968,2.591374608797276,0.2484915848535688,1.0,0.0,0.0039920159680638,0.0107072599531616,Significant,0.360272278343998,-0.24195941428560538,0.005496277550535902,2.1325556896079303,388.0,120.0
L1PA10,L1PA10,L1PA10,LINE,608,5816,1.2200575018381006,5.851381850384163e-06,1.7740396432331826e-05,98.42105263157896,103.97919532324622,2.783903579272735,3.7646243978509815,2.618111734386717,0.1328569909500911,1.0,0.0,0.0039920159680638,0.0107072599531616,Significant,0.4660066588502169,-4.751036679518358,0.006425093623057933,4.1827359486107145,651.0,485.0
